episode_id,condition,target_side,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_left_mean,energy_right_mean,local_margin_left_minus_right_mean,local_margin_seed_sd,right_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,0,0,16,16,0.10256410256410256,10,0.22600208073854447,0.2743094265460968,-0.04830734580755234,0.02058059225743173,0.0,1.0,1.0,-0.04830734580755234,-0.04830734580755234,-0.04830734580755234,-0.04830734580755234
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,1,16,32,16,0.20512820512820512,10,0.2107038363814354,0.31700493544340136,-0.10630109906196594,0.021451179587178213,0.0,1.0,1.0,-0.15460844486951827,-0.07730422243475914,-0.0757780710333272,-0.07298702148314626
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,2,32,48,16,0.3076923076923077,10,0.300468447804451,0.3888331979513168,-0.08836475014686584,0.01872257266689806,0.0,1.0,1.0,-0.24297319501638412,-0.08099106500546137,-0.07950745743733866,-0.07667297814656537
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,3,48,64,16,0.41025641025641024,10,0.3671886295080185,0.3781496673822403,-0.010961037874221802,0.004727380585828488,0.0,1.0,1.0,-0.2539342328906059,-0.06348355822265148,-0.06539495929199106,-0.06676403741953023
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,4,64,80,16,0.5128205128205128,10,0.33799419105052947,0.30484823435544967,0.0331459566950798,0.01143305867721191,1.0,1.0,0.0,-0.2207882761955261,-0.04415765523910522,-0.05061382189393044,-0.05672454489170695
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,5,80,96,16,0.6153846153846154,10,0.30046128034591674,0.2797503337264061,0.020710946619510652,0.0044761962114792855,1.0,1.0,0.0,-0.20007732957601546,-0.033346221596002576,-0.04268884761465921,-0.05135951913196793
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,6,96,112,16,0.717948717948718,10,0.24063417464494705,0.2320988580584526,0.008535316586494446,0.0028254761856719613,1.0,1.0,0.0,-0.191542012989521,-0.027363144712788716,-0.03850728319007523,-0.04843539982415295
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,7,112,128,16,0.8205128205128205,10,0.30116710513830186,0.3012642577290535,-9.715259075164795e-05,0.0017765780330229507,0.5,0.5,0.5,-0.19163916558027266,-0.023954895697534083,-0.03629131411703733,-0.04674815409533846
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,8,128,144,16,0.9230769230769231,10,0.32689449191093445,0.33240757286548617,-0.005513080954551696,0.0035780619855731305,0.0,1.0,1.0,-0.19715224653482435,-0.02190580517053604,-0.03515137955546379,-0.04570876415572656
2026_08_17_02_29_03_938361_L1_left_C2,C2,left,9,144,156,12,1.0,10,0.2755263760685921,0.2765787154436111,-0.0010523393750190735,0.0004716336490785596,0.0,1.0,1.0,-0.19820458590984344,-0.019820458590984344,-0.034531397006728436,-0.04489016295067457
2026_08_17_02_30_47_786891_L1_right_C2,C2,right,0,0,16,16,0.10256410256410256,10,0.3939728021621704,0.33269253373146057,0.06128026843070984,0.03355648970585503,1.0,1.0,1.0,0.06128026843070984,0.06128026843070984,0.06128026843070984,0.06128026843070984
