episode_id,base_frame_target,exterior_camera_frame_target,prediction_10pct,prediction_20pct,prediction_30pct,prediction_40pct,prediction_100pct,flat_score,flat_prediction,linear_score,linear_prediction,exponential_alpha3_score,exponential_alpha3_prediction,flat_seed_prediction_agreement,linear_seed_prediction_agreement,exponential_seed_prediction_agreement
2026_08_17_02_29_03_938361_L1_left_C2,left,right,L,L,L,L,L,-0.019820458590984344,L,-0.034531397006728436,L,-0.04489016295067457,L,1.0,1.0,1.0
2026_08_17_02_30_47_786891_L1_right_C2,right,left,R,R,R,R,L,-0.016131186932325365,L,-0.009047236903147264,L,0.0020305462493968866,R,1.0,0.8,0.5
