episode_id,target_side,chunk_index,progress_pregrasp,seed,energy_left,energy_right,left_logit_energy_right_minus_left
2026_08_17_02_29_03_938361_L1_left_C2,left,0,0.10256410256410256,0,0.258805513381958,0.31657078862190247,0.05776527523994446
2026_08_17_02_29_03_938361_L1_left_C2,left,0,0.10256410256410256,1,0.22994709014892578,0.24542933702468872,0.01548224687576294
2026_08_17_02_29_03_938361_L1_left_C2,left,0,0.10256410256410256,2,0.2445002794265747,0.32066845893859863,0.07616817951202393
2026_08_17_02_29_03_938361_L1_left_C2,left,1,0.20512820512820512,0,0.23228351771831512,0.34418752789497375,0.11190401017665863
2026_08_17_02_29_03_938361_L1_left_C2,left,1,0.20512820512820512,1,0.1837957203388214,0.3023189604282379,0.1185232400894165
2026_08_17_02_29_03_938361_L1_left_C2,left,1,0.20512820512820512,2,0.18398016691207886,0.31613755226135254,0.13215738534927368
2026_08_17_02_29_03_938361_L1_left_C2,left,2,0.3076923076923077,0,0.40271738171577454,0.4775673449039459,0.07484996318817139
2026_08_17_02_29_03_938361_L1_left_C2,left,2,0.3076923076923077,1,0.34703123569488525,0.40807074308395386,0.061039507389068604
2026_08_17_02_29_03_938361_L1_left_C2,left,2,0.3076923076923077,2,0.3774949610233307,0.46042850613594055,0.08293354511260986
2026_08_17_02_29_03_938361_L1_left_C2,left,3,0.41025641025641024,0,0.23523163795471191,0.24135923385620117,0.006127595901489258
2026_08_17_02_29_03_938361_L1_left_C2,left,3,0.41025641025641024,1,0.3624652028083801,0.3769824504852295,0.014517247676849365
2026_08_17_02_29_03_938361_L1_left_C2,left,3,0.41025641025641024,2,0.37023302912712097,0.3854505121707916,0.015217483043670654
2026_08_17_02_29_03_938361_L1_left_C2,left,4,0.5128205128205128,0,0.4415522813796997,0.418954461812973,-0.022597819566726685
2026_08_17_02_29_03_938361_L1_left_C2,left,4,0.5128205128205128,1,0.3148490786552429,0.28732311725616455,-0.02752596139907837
2026_08_17_02_29_03_938361_L1_left_C2,left,4,0.5128205128205128,2,0.349409818649292,0.3228517770767212,-0.0265580415725708
2026_08_17_02_29_03_938361_L1_left_C2,left,5,0.6153846153846154,0,0.3870779573917389,0.36635133624076843,-0.02072662115097046
2026_08_17_02_29_03_938361_L1_left_C2,left,5,0.6153846153846154,1,0.350919246673584,0.3330462574958801,-0.017872989177703857
2026_08_17_02_29_03_938361_L1_left_C2,left,5,0.6153846153846154,2,0.27690696716308594,0.259505957365036,-0.017401009798049927
