prompt_family,episode_id,chunk_index,num_seeds,original_margin_mean,flipped_margin_mean,margin_delta_mean,margin_delta_sd,same_sign_rate
color,2026_08_18_00_40_18_199635_L1_left_C0,0,10,0.016403624415397645,0.04061429351568222,0.024210669100284576,0.015645428961354207,1.0
color,2026_08_18_00_40_18_199635_L1_left_C0,1,10,0.019978874921798707,0.039040489494800566,0.019061614573001862,0.01846223006805979,1.0
color,2026_08_18_00_40_18_199635_L1_left_C0,2,10,0.01872280240058899,0.02152835577726364,0.002805553376674652,0.023702526711441577,0.9
color,2026_08_18_00_40_18_199635_L1_left_C0,3,10,0.029509037733078003,-0.01546141654253006,-0.044970454275608064,0.04548824666312945,0.0
color,2026_08_18_00_40_18_199635_L1_left_C0,4,10,-0.03334896415472031,-0.061991268396377565,-0.028642304241657257,0.0061089447544600325,1.0
color,2026_08_18_00_40_18_199635_L1_left_C0,5,10,-0.029275600612163544,-0.055348625779151915,-0.026073025166988374,0.00897404640384586,1.0
color,2026_08_18_00_40_18_199635_L1_left_C0,6,10,0.006257574260234833,-0.005434246361255645,-0.01169182062149048,0.0075448076218618135,0.5
color,2026_08_18_00_40_18_199635_L1_left_C0,7,10,-0.03291676789522171,-0.024377085268497467,0.008539682626724244,0.004045234902431911,1.0
color,2026_08_18_00_40_47_448240_L1_left_C1,0,10,0.04661799967288971,-0.011968228220939636,-0.05858622789382935,0.012694712362725978,0.2
color,2026_08_18_00_40_47_448240_L1_left_C1,1,10,0.03454722613096237,0.05366807579994202,0.019120849668979645,0.021445016973322593,1.0
color,2026_08_18_00_40_47_448240_L1_left_C1,2,10,0.039659200608730315,0.055756513774394986,0.01609731316566467,0.023745132396041764,0.9
color,2026_08_18_00_40_47_448240_L1_left_C1,3,10,0.029001677036285402,0.008909229934215546,-0.020092447102069855,0.02339689562410702,0.6
color,2026_08_18_00_40_47_448240_L1_left_C1,4,10,0.008808192610740662,0.013786055147647858,0.004977862536907196,0.0051041188218153705,0.9
color,2026_08_18_00_40_47_448240_L1_left_C1,5,10,0.004782253503799438,0.016449499130249023,0.011667245626449585,0.009443450742447452,0.8
color,2026_08_18_00_40_47_448240_L1_left_C1,6,10,-0.07433011531829833,-0.05651429146528244,0.0178158238530159,0.0035344990351691167,1.0
color,2026_08_18_00_40_47_448240_L1_left_C1,7,10,-0.01821833848953247,-0.031528550386428836,-0.013310211896896362,0.00725146040541907,1.0
color,2026_08_18_00_41_27_880068_L1_left_C2,0,10,0.015621447563171386,-0.012853245437145232,-0.02847469300031662,0.018626802955442855,0.2
color,2026_08_18_00_41_27_880068_L1_left_C2,1,10,0.039013639092445374,0.023363694548606873,-0.0156499445438385,0.012340125904941983,1.0
color,2026_08_18_00_41_27_880068_L1_left_C2,2,10,0.029711973667144776,0.06379063278436661,0.034078659117221834,0.016977575053997798,1.0
color,2026_08_18_00_41_27_880068_L1_left_C2,3,10,0.017190968990325926,0.037247602641582486,0.02005663365125656,0.016016420690216252,1.0
color,2026_08_18_00_41_27_880068_L1_left_C2,4,10,-0.0211285799741745,-0.016707059741020203,0.004421520233154297,0.016979711129074468,1.0
color,2026_08_18_00_41_27_880068_L1_left_C2,5,10,-0.0107950359582901,-0.0109516441822052,-0.0001566082239151001,0.007843481493431496,0.9
color,2026_08_18_00_41_27_880068_L1_left_C2,6,10,-0.03266337662935257,-0.014997926354408265,0.017665450274944306,0.003115575246435343,1.0
color,2026_08_18_00_41_27_880068_L1_left_C2,7,10,-0.04746160507202148,0.014143469929695129,0.061605075001716615,0.012521824183703689,0.0
color,2026_08_18_00_41_27_880068_L1_left_C2,8,10,-0.08996858298778534,-0.050988335907459256,0.03898024708032608,0.0038161319464390196,1.0
color,2026_08_18_00_41_27_880068_L1_left_C2,9,10,-0.008540061116218568,-0.0032201915979385375,0.00531986951828003,0.006455034422646215,0.6
color,2026_08_18_00_45_28_073578_L1_right_C0,0,10,0.00865766555070877,0.03159805834293365,0.022940392792224883,0.02532966885930117,0.8
color,2026_08_18_00_45_28_073578_L1_right_C0,1,10,0.00019015371799468994,0.07234062254428864,0.07215046882629395,0.012513420308051408,0.4
color,2026_08_18_00_45_28_073578_L1_right_C0,2,10,-0.022359079122543334,0.02283298075199127,0.045192059874534604,0.022395757846362805,0.1
color,2026_08_18_00_45_28_073578_L1_right_C0,3,10,-0.028856422007083892,-0.009528627991676331,0.019327794015407563,0.012534505653779025,0.9
color,2026_08_18_00_45_28_073578_L1_right_C0,4,10,-0.00883892849087715,0.02348373457789421,0.032322663068771365,0.005831906522925989,0.2
color,2026_08_18_00_45_28_073578_L1_right_C0,5,10,0.03523333221673965,0.0393972173333168,0.004163885116577148,0.0035382844432835956,1.0
