prompt_family,grouping,level,num_trajectories,num_paired_chunk_seeds,mean_margin_delta_flip_minus_original,mean_absolute_margin_delta,same_sign_rate,opposite_sign_rate,mean_episode_correlation_with_original
color,overall,all,24,2130,0.002140640456911544,0.032571028802596345,0.7305164319248826,0.26948356807511736,0.45006024722929
color,layout,L1,12,1040,0.0009940123042235008,0.029761451167555956,0.7019230769230769,0.2980769230769231,0.45527602480424306
color,layout,L3,12,1090,0.003234670987916649,0.035251726729607365,0.7577981651376147,0.24220183486238533,0.4448444696543368
color,target_color,blue,12,1060,-3.897601844004865e-05,0.03192168003967348,0.7641509433962265,0.2358490566037736,0.5147589460721286
color,target_color,red,12,1070,0.004299886684829944,0.0332143088854919,0.697196261682243,0.30280373831775703,0.3853615483864514
color,target_side,left,12,1070,0.005141800440081926,0.031861262127896334,0.7476635514018691,0.2523364485981308,0.49231441865925474
color,target_side,right,12,1060,-0.000888832356288748,0.033287491389321834,0.7132075471698113,0.28679245283018867,0.4078060757993253
color,condition,C0,8,640,0.0002939469297416508,0.03632685757474974,0.734375,0.265625,0.39821304963575155
color,condition,C1,8,680,0.002401525088969399,0.03758747536031639,0.7044117647058824,0.29558823529411765,0.3649025564073547
color,condition,C2,8,810,0.0033807420712194326,0.02539212253910524,0.7493827160493827,0.2506172839506173,0.5870651356447638
side,overall,all,24,2130,0.01313030728501893,0.023105823780309426,0.6652582159624413,0.33474178403755867,0.4186668616574294
side,layout,L1,12,1040,0.013844639600182954,0.02350947870514714,0.6634615384615384,0.33653846153846156,0.4703806275514178
side,layout,L3,12,1090,0.01244874250724775,0.02272068513642757,0.6669724770642201,0.3330275229357798,0.3669530957634409
side,target_color,blue,12,1060,0.01395869826511392,0.024551311325070994,0.6698113207547169,0.330188679245283,0.3944387002521506
side,target_color,red,12,1070,0.012309658276700528,0.021673845464938155,0.6607476635514019,0.33925233644859815,0.44289502306270817
side,target_side,left,12,1070,0.008036499623661843,0.019620285517422953,0.7710280373831776,0.22897196261682243,0.7509510558319014
side,target_side,right,12,1060,0.018272169735634104,0.026624244479638227,0.5584905660377358,0.44150943396226416,0.0863826674829576
side,condition,C0,8,640,0.015079478884581476,0.02347095968434587,0.7921875,0.2078125,0.5329808425326754
side,condition,C1,8,680,0.014330336813102751,0.024200521617689555,0.5941176470588235,0.40588235294117647,0.28560352434765746
side,condition,C2,8,810,0.010582788886479389,0.021898315745739288,0.6246913580246913,0.37530864197530867,0.4374162180919553
