episode_id,condition,target_side,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_left_mean,energy_right_mean,local_margin_left_minus_right_mean,local_margin_seed_sd,right_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
00_L0_C1_left,C0_natural_direct,left,0,0,16,16,0.125,10,0.2769942432641983,0.29053972363471986,-0.013545480370521546,0.009513901096554445,0.1,0.9,0.9,-0.013545480370521546,-0.013545480370521546,-0.013545480370521546,-0.013545480370521546
00_L0_C1_left,C0_natural_direct,left,1,16,32,16,0.25,10,0.257483696937561,0.2792655140161514,-0.021781817078590393,0.009322739997209459,0.1,0.9,0.9,-0.035327297449111936,-0.017663648724555968,-0.01738910416762034,-0.016900415405742334
00_L0_C1_left,C0_natural_direct,left,2,32,48,16,0.375,10,0.2397778794169426,0.2817321538925171,-0.041954274475574496,0.007065168833212732,0.0,1.0,1.0,-0.07728157192468643,-0.025760523974895477,-0.024407724255607242,-0.02238027236669187
00_L0_C1_left,C0_natural_direct,left,3,48,64,16,0.5,10,0.264612489938736,0.2716868594288826,-0.007074369490146637,0.025666132142368087,0.3,0.7,0.7,-0.08435594141483307,-0.02108898535370827,-0.021074386800710974,-0.020380078133054598
00_L0_C1_left,C0_natural_direct,left,4,64,80,16,0.625,10,0.28115965873003007,0.27836285829544066,0.002796800434589386,0.011504656928916147,0.6,0.6,0.4,-0.0815591409802437,-0.01631182819604874,-0.01789156183600426,-0.018469984624087027
00_L0_C1_left,C0_natural_direct,left,5,80,96,16,0.75,10,0.2800996318459511,0.2982541412115097,-0.018154509365558624,0.004231118389097342,0.0,1.0,1.0,-0.09971365034580232,-0.016618941724300385,-0.01791546615687284,-0.01845307333738793
00_L0_C1_left,C0_natural_direct,left,6,96,112,16,0.875,10,0.27919418513774874,0.2993641272187233,-0.020169942080974577,0.003305756693857033,0.0,1.0,1.0,-0.1198835924267769,-0.01712622748953956,-0.01804429335253579,-0.018514079703316776
00_L0_C1_left,C0_natural_direct,left,7,112,128,16,1.0,10,0.25123111307621004,0.24966034293174744,0.0015707701444625855,0.002930368421779135,0.7,0.7,0.3,-0.11831282228231432,-0.01478910278528929,-0.01749943047761917,-0.018035265076229563
01_L0_C1_right,C0_natural_direct,right,0,0,16,16,0.125,10,0.3942496746778488,0.39361766874790194,0.0006320059299468994,0.013307551935765348,0.5,0.5,0.5,0.0006320059299468994,0.0006320059299468994,0.0006320059299468994,0.0006320059299468994
01_L0_C1_right,C0_natural_direct,right,1,16,32,16,0.25,10,0.24046816676855087,0.2754573695361614,-0.03498920276761055,0.016539895011413543,0.0,1.0,0.0,-0.034357196837663646,-0.017178598418831823,-0.01599122479557991,-0.013877702122574838
01_L0_C1_right,C0_natural_direct,right,2,32,48,16,0.375,10,0.22510096430778503,0.2831793248653412,-0.05807836055755615,0.020542141891357616,0.0,1.0,0.0,-0.0924355573952198,-0.03081185246507327,-0.028016120727573122,-0.023545405813585815
