run,condition,layout_count,alpha_normalized,max_line_deviation_m,path_ratio,mean_true_energy,mean_alternative_energy,raw_sign_early_auc,probability_early_auc_tau1,weighted_probability_auc_tau1,margin_at_30pct_linear,margin_at_50pct_linear,final_accuracy,pair_discrimination,pair_left_bias
pi05_droid,C0,1,0.0,0.009093360759781259,1.0129664221162797,0.24904997646808627,0.24157446591804424,0.5,0.4919216519638672,0.49521815100990785,-0.010207527937988445,-0.025862600887194276,0.5,-0.11960816880067188,0.18143041183551153
pi05_droid,C1,2,2.0,0.09081832976041909,1.1427421412816214,0.2862042222792904,0.2849618617910892,0.5625,0.4980927133013708,0.4994533430615017,0.004493562132120132,-0.017805082723498344,0.5,-0.019877767811218874,0.14690725567440194
pi05_droid,C2,2,4.0,0.18560433310515148,1.4322130288536763,0.30579524785280227,0.30639555522551143,0.5772539288668321,0.5050501811164201,0.5059559412692889,0.038490010945436845,0.034604800826249026,0.5,0.012006147454182325,0.21057591028511524
pi05_base,C0,1,0.0,0.009093360759781259,1.0129664221162797,0.10450714314356446,0.10442483068133393,0.7086956521739131,0.5000329435781058,0.5001666625816669,0.002311672006423275,-0.00020669761579483704,0.5,-0.0013169993956883737,0.0011787315209706621
pi05_base,C1,2,2.0,0.09081832976041909,1.1427421412816214,0.5840905134876568,0.5861671616633732,0.5,0.5017400439905646,0.5011116978136595,0.005047748982906342,0.005758275588353474,0.5,0.0332263708114624,0.04612416028976441
pi05_base,C2,2,4.0,0.18560433310515148,1.4322130288536763,0.5948616889615854,0.5945410127441089,0.5,0.4997689551891487,0.5002657238624352,0.00550886671990156,0.002404301116863884,0.5,-0.006413524349530533,0.08182269583145778
