layout,condition,alpha_normalized,left_final_margin,right_final_margin,pair_discrimination,pair_left_bias,final_accuracy,raw_sign_early_auc,probability_early_auc_tau1,mean_margin_at_30pct,mean_margin_at_50pct
L0,C0,0.0,0.1216263274351756,-0.24123449623584747,-0.11960816880067188,0.18143041183551153,0.5,0.5,0.4919216519638672,-0.010207527937988445,-0.025862600887194276
L0,C1,2.0,0.130949,-0.176395,-0.04544658213853833,0.1536719786624114,0.5,0.5625,0.49580395293086654,-0.0032353127996126857,-0.027728685488303505
L0,C2,4.0,0.191346,-0.199300,-0.007954331735769898,0.19532275075713795,0.5,0.603225806451613,0.5043513397845147,0.040535931708291166,0.03116237674839794
L1,C1,2.0,0.142988,-0.137297,0.005691046516100584,0.14014253268639248,0.5,0.5625,0.500381473671875,0.01222243706385295,-0.007881479958693184
L1,C2,4.0,0.241812,-0.209846,0.03196662664413455,0.22582906981309253,0.5,0.5512820512820513,0.5057490224483253,0.03644409018258253,0.038047224904100105
