prefix,overall_accuracy,left_accuracy,right_accuracy,seed_pooled_accuracy,left_seed_pooled_accuracy,right_seed_pooled_accuracy
0.1,1.0,1.0,1.0,0.8,0.95,0.65
0.2,0.5,1.0,0.0,0.625,1.0,0.25
0.3,0.5,1.0,0.0,0.525,1.0,0.05
0.4,0.5,1.0,0.0,0.5,1.0,0.0
1.0,0.5,1.0,0.0,0.5,1.0,0.0
