condition,target,init_state_index,repeat_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,first_guidance_scale,mean_post_first_guidance_scale,max_post_first_guidance_scale,belief_negative_after_first_chunk,initial_observation_sha256,metadata_path
base,cabinet,17,1,True,75,15,0.7696138047252541,9.293077044229229,0.0,0.0,0.0,nan,8a2304c76cf05364394a5e9e8205494645e8dcf034b756638103c488f013dd7b,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init17_repeat1_success.json
base,cabinet,18,0,True,98,20,0.9683010576607036,11.076528512160154,0.0,0.0,0.0,nan,20b5a7abdfe49e34d1bc7b984f6667aaf5631112a5fee0525edf55061c50589c,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init18_repeat0_success.json
base,cabinet,18,1,True,87,18,0.9027869671970725,10.837227085160086,0.0,0.0,0.0,nan,20b5a7abdfe49e34d1bc7b984f6667aaf5631112a5fee0525edf55061c50589c,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init18_repeat1_success.json
base,cabinet,19,0,True,85,17,0.8896848948743289,11.316927938525742,0.0,0.0,0.0,nan,7dcbc894b187bcfa06789df1e7c8751e18acfbc84e35c9244515594035b4bd25,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init19_repeat0_success.json
base,cabinet,19,1,True,88,18,0.9068700544359232,11.178576858276873,0.0,0.0,0.0,nan,7dcbc894b187bcfa06789df1e7c8751e18acfbc84e35c9244515594035b4bd25,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init19_repeat1_success.json
base,cabinet,1,0,True,90,18,0.9159572030656017,10.900802522042317,0.0,0.0,0.0,nan,b2a6ae4dc26730f9ae1060fbebdc279e7273c39b0f8f528ef8c5b03f64aeaf2e,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init1_repeat0_success.json
base,cabinet,1,1,True,86,18,0.8891634416190809,10.838500709141329,0.0,0.0,0.0,nan,b2a6ae4dc26730f9ae1060fbebdc279e7273c39b0f8f528ef8c5b03f64aeaf2e,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init1_repeat1_success.json
base,cabinet,20,0,True,86,18,0.9307312300209051,11.496323147958094,0.0,0.0,0.0,nan,2c8ce6339efb5d14c08e62c4fa248d76367d939f37814ec1105a3d7a45c0ff48,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init20_repeat0_success.json
base,cabinet,20,1,True,83,17,0.9007650011011997,11.069613227024751,0.0,0.0,0.0,nan,2c8ce6339efb5d14c08e62c4fa248d76367d939f37814ec1105a3d7a45c0ff48,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init20_repeat1_success.json
base,cabinet,21,0,True,85,17,0.8795029578735888,10.811862580802138,0.0,0.0,0.0,nan,1e339873f947d4284382d878fb78ef735faa1f80b434ccb3960a2ad3799e2b6a,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init21_repeat0_success.json
