condition,target,init_state_index,repeat_index,success,policy_steps,close_step,grasp_state,lift_state,close_query,grasp_query,lift_query,pre_lift_steps,pre_lift_eef_path_m,pre_lift_action_tv_l2,post_lift_evidence_5,post_lift_evidence_10,post_lift_evidence_15,post_lift_evidence_20,post_lift_early_auc20,post_lift_wrong_fraction15,metadata_path,guidance_at_close,belief_positive_at_close,belief_negative_at_close,guidance_close_plus_1,belief_positive_close_plus_1,belief_negative_close_plus_1,guidance_close_plus_2,belief_positive_close_plus_2,belief_negative_close_plus_2,guidance_close_plus_3,belief_positive_close_plus_3,belief_negative_close_plus_3,guidance_at_grasp,belief_positive_at_grasp,belief_negative_at_grasp,guidance_grasp_plus_1,belief_positive_grasp_plus_1,belief_negative_grasp_plus_1,guidance_grasp_plus_2,belief_positive_grasp_plus_2,belief_negative_grasp_plus_2,guidance_grasp_plus_3,belief_positive_grasp_plus_3,belief_negative_grasp_plus_3,guidance_at_lift,belief_positive_at_lift,belief_negative_at_lift,guidance_lift_plus_1,belief_positive_lift_plus_1,belief_negative_lift_plus_1,guidance_lift_plus_2,belief_positive_lift_plus_2,belief_negative_lift_plus_2,guidance_lift_plus_3,belief_positive_lift_plus_3,belief_negative_lift_plus_3
time_decay,plate,23,0,True,73,47,57,69,7,9,11,59.0,0.5509924322437191,9.009161590396157,0.021900278097988,0.17445834297191268,0.30158998572942997,0.30158998572942997,0.10462229921096895,0.2,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init23_repeat0_success.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan
time_decay,plate,23,1,True,75,50,62,70,8,10,12,60.0,0.5310422331796912,9.179010532490071,-0.03873809329389469,0.1301241848252312,0.3309252594444042,0.3309252594444042,0.06829894110028971,0.4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init23_repeat1_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,nan,nan,nan
time_decay,plate,24,0,True,72,45,,64,7,,10,54.0,0.49189323580769917,8.857749278627189,-0.024315617329971596,0.11848944940524574,0.3313994493926137,0.4209197917781447,0.07646416067945361,0.4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init24_repeat0_success.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan
time_decay,plate,24,1,True,70,44,57,66,6,9,11,56.0,0.502595075465015,8.542353182608386,0.014214397070021102,0.22840164361148224,0.40504110718338104,0.40504110718338104,0.13119438541241019,0.26666666666666666,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init24_repeat1_success.json,0.531441,nan,nan,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,nan,nan,nan
time_decay,plate,25,0,True,74,48,60,69,7,10,11,59.0,0.5137329274728768,9.142947630329196,-0.02528893973476988,0.14199630346035855,0.3604016723438235,0.3604016723438235,0.08237093144224106,0.4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init25_repeat0_success.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan
time_decay,plate,25,1,True,72,47,57,68,7,9,11,58.0,0.5161638153514402,8.756417225027691,-0.00867792697020414,0.20815695705555098,0.37032500452856637,0.37032500452856637,0.11115420063872125,0.3333333333333333,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init25_repeat1_success.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan
time_decay,plate,26,0,True,78,48,,69,7,,11,59.0,0.5343725128651673,9.72631103227642,-0.013644418709089034,0.11500371277249352,0.31129397014649085,0.42668884320404393,0.07724753827250717,0.4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init26_repeat0_success.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan
time_decay,plate,26,1,True,72,48,57,69,7,9,11,59.0,0.5485102390174376,8.752190945167616,0.0168361623426205,0.25601316853749495,0.40448401168198433,0.40448401168198433,0.14033245535948113,0.26666666666666666,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init26_repeat1_success.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan
time_decay,plate,27,0,True,81,56,68,76,9,11,13,66.0,0.49825515941623955,10.151135134637933,0.0014371867048312268,0.18900234833208626,0.4102717228322589,0.4102717228322589,0.11290947352782005,0.26666666666666666,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init27_repeat0_success.json,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan,0.18530201888518416,nan,nan
time_decay,plate,27,1,True,80,54,66,74,8,11,12,64.0,0.4796768768982474,9.968864867049064,-0.02508022522212101,0.14704242857761204,0.3699026995397309,0.4003001132975238,0.0858173566607591,0.4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init27_repeat1_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan
time_decay,plate,28,0,True,86,54,70,76,8,12,13,66.0,0.5568793894422046,8.180328129557932,-0.053969937389034044,0.0012894678647986865,0.17685948705854804,0.3655525567891887,0.01065065554405735,0.6,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init28_repeat0_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan,0.18530201888518416,nan,nan
time_decay,plate,28,1,True,80,52,62,74,8,10,12,64.0,0.5398986241437258,8.359117821496984,-0.021602393718361087,0.1273721213316709,0.3156769575848616,0.3480827848911882,0.0747690083985807,0.4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init28_repeat1_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan
time_decay,plate,29,0,False,300,48,,67,7,,11,57.0,0.5135065402947903,8.598255241348644,-0.020121012380479277,0.07773908487263484,0.2464939628157419,0.32615981320726234,0.053552870930183606,0.4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init29_repeat0_failure.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan
time_decay,plate,29,1,True,73,47,57,69,7,9,11,59.0,0.5283496390128296,9.028583841676078,0.0003024788113755261,0.17303801479873507,0.34227548212886966,0.34227548212886966,0.09989453854813972,0.26666666666666666,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init29_repeat1_success.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan
time_decay,plate,2,0,True,81,52,65,71,8,11,12,61.0,0.49827684691453245,8.739370057874726,-0.0774050054759362,-0.03109358919316497,0.1325614921691845,0.31261659264726677,-0.015848031031256784,0.7333333333333333,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init2_repeat0_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan
time_decay,plate,2,1,True,77,51,60,72,8,10,12,62.0,0.5183070794667533,8.62914482460539,0.005955260731398757,0.1295101487660274,0.28544109398296796,0.28544109398296796,0.08068986408996606,0.26666666666666666,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init2_repeat1_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan
time_decay,plate,30,0,True,76,51,63,70,8,10,12,60.0,0.4841632890547375,8.58622308227958,-0.023355271570252592,0.11886528105084868,0.3098125121325138,0.34270610270923385,0.07160208964742576,0.4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init30_repeat0_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan
time_decay,plate,30,1,True,74,49,60,72,7,10,12,62.0,0.505871216823424,9.34412233886131,0.09142080873161343,0.2759862090511899,0.3412713386110023,0.3412713386110023,0.16425239166302116,0.0,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init30_repeat1_success.json,0.4782969000000001,nan,nan,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,nan,nan,nan
time_decay,plate,31,0,True,77,51,62,71,8,10,12,61.0,0.5360698880349635,9.750903676296076,-0.01630973011102218,0.13241694096650233,0.3342846413806616,0.36378315476642903,0.08254689902922727,0.3333333333333333,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init31_repeat0_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,0.20589113209464907,nan,nan
time_decay,plate,31,1,True,75,51,61,73,8,10,12,63.0,0.5775263114944355,9.772699865954909,0.06203621197576139,0.2745056380352048,0.3556061886398607,0.3556061886398607,0.15629738080618152,0.06666666666666667,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init31_repeat1_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2824295364810001,nan,nan,0.2541865828329001,nan,nan,0.2287679245496101,nan,nan,nan,nan,nan
time_decay,plate,32,0,True,113,52,95,105,8,17,19,95.0,0.7882357956822719,17.568315507425883,-0.03533253756238787,0.02845583433795734,0.18511738378715653,0.2823656056421383,0.024590789725914226,0.5333333333333333,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_time_decay_plate_init32_repeat0_success.json,0.4304672100000001,nan,nan,0.3874204890000001,nan,nan,0.3486784401000001,nan,nan,0.31381059609000006,nan,nan,0.16677181699666577,nan,nan,0.15009463529699918,nan,nan,0.13508517176729928,nan,nan,0.12157665459056935,nan,nan,0.13508517176729928,nan,nan,0.12157665459056935,nan,nan,0.10941898913151242,nan,nan,0.09847709021836118,nan,nan
