run,condition,alpha_normalized,alpha_m,planned_path_length_m,actual_path_length_m,path_ratio,max_line_deviation_m,pregrasp_seconds,mean_true_energy,mean_alternative_energy,mean_local_margin,mean_final_cumulative_margin,pair_discrimination,pair_left_bias,final_accuracy,raw_sign_early_auc,probability_early_auc_tau1,weighted_probability_auc_tau1,mean_final_true_belief_tau1,accuracy_at_30pct_linear,mean_margin_at_30pct_linear,accuracy_at_50pct_linear,mean_margin_at_50pct_linear
pi05_droid,C0,0.0,0.0,0.41524257619378213,0.4070787607760528,1.0129664221162797,0.009093360759781259,7.666666666666667,0.24904997646808627,0.24157446591804424,-0.007475510550041992,-0.05980408440033594,-0.11960816880067188,0.18143041183551153,0.5,0.5,0.4919216519638672,0.49521815100990785,0.4851756523043452,0.5,-0.010207527937988445,0.5,-0.025862600887194276
pi05_droid,C1,0.5,0.04236371893517335,0.41937031904613853,0.40743369323264556,1.008282660693812,0.01722166082512485,7.733333333333333,0.24372703799357015,0.2456590226696183,0.0019319846760481596,0.015455877408385277,0.030911754816770554,0.16618862810234228,0.5,0.49999999999999994,0.5053243653445697,0.5044043051075154,0.5038373374529732,0.5,0.01753070571770271,0.5,0.027264180282751724
pi05_droid,C2,1.0,0.0847274378703467,0.43097355922668246,0.417224167360593,1.0375142502016144,0.03922169296812582,9.1,0.267897634456555,0.2636199825339847,-0.004277651922570333,-0.03849886730313304,-0.07699773460626608,0.193694227685531,0.5,0.4998926577930442,0.4971605164916475,0.4988167614492986,0.4904661400115403,0.5,-0.005415163810054462,0.5,-0.013858005249251931
pi05_droid,C3,1.5,0.12709115680552005,0.44868407232314306,0.43335410057750046,1.0751348155610794,0.06263687081257602,8.866666666666667,0.25180147443380624,0.25404689133305236,0.002245416899246195,0.005459676186243684,0.010919352372487368,0.23052553832530975,0.5,0.497725851384388,0.5001564833201868,0.49926068636769017,0.5013469416017056,0.5,-0.00903597699167829,0.5,-0.003530606782684742
pi05_droid,C4,2.0,0.1694548757406934,0.47128690043329435,0.45432807060187275,1.1243042008592141,0.08733077864863212,8.533333333333333,0.2682141810655594,0.2680426696315408,-0.0001715114340186119,-0.0013720914721488953,-0.0027441829442977905,0.20758306235074997,0.5,0.5,0.5021541729577437,0.5022388614243594,0.4996606460821622,0.5,0.013062947988510133,0.5,0.01718333611885707
pi05_base,C0,0.0,0.0,0.41524257619378213,0.4070787607760528,1.0129664221162797,0.009093360759781259,7.666666666666667,0.10450714314356446,0.10442483068133393,-8.231246223052336e-05,-0.0006584996978441868,-0.0013169993956883737,0.0011787315209706621,0.5,0.7086956521739131,0.5000329435781058,0.5001666625816669,0.4998353751386705,1.0,0.002311672006423275,0.5,-0.00020669761579483704
pi05_base,C1,0.5,0.04236371893517335,0.41937031904613853,0.40743369323264556,1.008282660693812,0.01722166082512485,7.733333333333333,0.09606428126183648,0.09569990999686222,-0.0003643712649742762,-0.0029149701197942095,-0.005829940239588419,-0.0004609848062197368,0.0,0.31034482758620685,0.4998161786796977,0.5000217599722717,0.4992712580247801,0.5,0.0010633525749047601,0.5,-0.0009476325164238609
pi05_base,C2,1.0,0.0847274378703467,0.43097355922668246,0.417224167360593,1.0375142502016144,0.03922169296812582,9.1,0.1057504818395332,0.1056097149848938,-0.00014076685463940654,-0.001266901691754659,-0.002533803383509318,-0.001531035949786504,0.5,0.3965221124946329,0.4998059380056602,0.4999270621966705,0.49968327480503094,0.5,-0.0007993294391781089,0.5,-0.00039280962664634
pi05_base,C3,1.5,0.12709115680552005,0.44868407232314306,0.43335410057750046,1.0751348155610794,0.06263687081257602,8.866666666666667,0.1178657826450136,0.11831201086924584,0.000446228224232241,0.003661872198184332,0.007323744396368664,0.0020050369203090676,1.0,0.6826852009778839,0.5007157756958722,0.5006150500887907,0.5009154661064845,1.0,0.004106613341718911,1.0,0.004259783192537727
pi05_base,C4,2.0,0.1694548757406934,0.47128690043329435,0.45432807060187275,1.1243042008592141,0.08733077864863212,8.533333333333333,0.12844893150031567,0.1274579782038927,-0.0009909532964229584,-0.007927626371383667,-0.015855252742767334,-0.002988296250502267,0.0,0.15625,0.49885735243618323,0.49923976660931624,0.49801810821133685,0.0,-0.0025813082853953042,0.0,-0.005456966658433278
