run,condition,pair_index,episode_id,target_side,alpha_normalized,alpha_m,planned_path_length_m,actual_path_length_m,direct_distance_m,path_ratio,max_line_deviation_m,pregrasp_seconds,pregrasp_chunks,mean_true_energy,mean_alternative_energy,mean_local_margin,final_cumulative_margin,final_correct,raw_sign_early_auc,probability_early_auc_tau1,weighted_probability_auc_tau1,final_true_belief_tau1,margin_at_30pct_linear,correct_at_30pct_linear,belief_at_30pct_tau1_linear,margin_at_50pct_linear,correct_at_50pct_linear,belief_at_50pct_tau1_linear,sustained_correct_progress,mean_seed_margin_sd
pi05_droid,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,0.0,0.0,0.41524257619431404,0.40717760319924257,0.40187427739008963,1.013196479863291,0.009588474404711483,7.666666666666667,8,0.23475843171278638,0.2499617226421833,0.01520329092939695,0.1216263274351756,1,0.9652173913043478,0.5232695151322857,0.5182800157670627,0.5303691536039359,0.08325578769048055,1,0.5208019325488389,0.13496194034814835,1,0.5336893637287696,0.1391304347826087,0.006934101657373997
pi05_droid,C0,0,2026_08_16_03_14_57_283218_L0_right_C0,right,0.0,0.0,0.41524257619325017,0.40697991835286307,0.40186166180211164,1.0127363643692684,0.008598247114851035,7.666666666666667,8,0.26334152122338617,0.23318720919390518,-0.030154312029480934,-0.24123449623584747,0,0.034782608695652174,0.46057378879544875,0.47215628625275297,0.43998215100475446,-0.10367084356645744,0,0.47410547704754374,-0.1866871421225369,0,0.4534632944755746,nan,0.003997241393579512
pi05_droid,C1,1,2026_08_16_23_53_01_150254_L0_left_C1,left,0.5,0.04236371893517335,0.41937031904664823,0.4074471176180543,0.4043400863822771,1.0076842028292978,0.01607145575640499,7.733333333333333,8,0.22380396102865538,0.24650952421749633,0.022705563188840944,0.18164450551072756,1,0.9655172413793103,0.5349194492309215,0.5259732993192776,0.5452866763402571,0.1004925606151422,1,0.5251020187809283,0.17925222714742026,1,0.5446934490462477,0.13793103448275862,0.007348043564563128
pi05_droid,C1,1,2026_08_16_23_50_53_549032_L0_right_C1,right,0.5,0.04236371893517335,0.41937031904562877,0.40742026884723687,0.40383377322933095,1.0088811185583262,0.018371865893844715,7.733333333333333,8,0.26365011495848495,0.2448085211217403,-0.018841593836744625,-0.150732750693957,0,0.034482758620689655,0.47572928145821797,0.4828353108957532,0.4623879985656894,-0.06543114917973678,0,0.4836480461689786,-0.12472386658191681,0,0.46885939161209206,nan,0.007039387955467024
pi05_droid,C2,2,2026_08_16_23_53_58_661787_L0_left_C2,left,1.0,0.0847274378703467,0.4309735592271172,0.4177985338333776,0.40240234484373716,1.0382606840812998,0.037870085106317314,9.066666666666666,9,0.265405653251542,0.2826495821829196,0.017243928931377554,0.15519536038239795,1,0.9705882352941176,0.5302931773857571,0.5231682107349221,0.5387211527599677,0.08868869294722874,1,0.5221576513829682,0.14594930907090503,1,0.5364226962788822,0.11764705882352941,0.00622863762968082
pi05_droid,C2,2,2026_08_16_23_51_51_005381_L0_right_C2,right,1.0,0.0847274378703467,0.43097355922624764,0.4166498008878084,0.4018737795757672,1.036767816321929,0.04057330082993433,9.133333333333333,9,0.2703896156615681,0.24459038288504986,-0.02579923277651822,-0.23219309498866403,0,0.029197080291970802,0.46402785559753784,0.47446531216367505,0.44221112726311296,-0.09951902056733766,0,0.47514075870616973,-0.1736653195694089,0,0.45669246042998735,nan,0.007707980856891615
pi05_droid,C3,3,2026_08_16_23_54_58_166550_L0_left_C3,left,1.5,0.12709115680552005,0.44868407232346263,0.43446402698677605,0.40423379836113293,1.0747840204065178,0.06174892732789254,8.2,8,0.2523233828445276,0.2818215346584717,0.029498151813944176,0.23598521451155344,1,0.967479674796748,0.535171820657,0.5232991502216541,0.5587240325766644,0.07399349954600133,1,0.5184899395627602,0.15901158625880873,1,0.5396693461919798,0.13008130081300814,0.008743347433804609
pi05_droid,C3,3,2026_08_16_23_44_26_108386_L0_right_C3,right,1.5,0.12709115680552005,0.4486840723228235,0.4322441741682248,0.4019060504962073,1.075485610715641,0.06352481429725948,9.533333333333333,9,0.2512795660230849,0.22627224800763304,-0.025007318015451786,-0.22506586213906607,0,0.027972027972027972,0.46514114598337375,0.47522222251372626,0.44396985062674665,-0.09206545352935791,0,0.4769998801659139,-0.16607279982417822,0,0.4585769608651855,nan,0.005399796292520418
pi05_droid,C4,4,2026_08_16_23_57_09_095600_L0_left_C4,left,2.0,0.1694548757406934,0.47128690043348,0.45442465429397544,0.4043558412103758,1.1238236423980583,0.08701337502313,8.533333333333333,8,0.26114650070667267,0.2869228720664978,0.025776371359825134,0.20621097087860107,1,0.96875,0.5341807236580525,0.5253080377172995,0.5513708349189814,0.10391115049521128,1,0.5259544381794056,0.156512384613355,1,0.5390484174301122,0.125,0.008812740234117718
pi05_droid,C4,4,2026_08_16_23_49_49_740572_L0_right_C4,right,2.0,0.1694548757406934,0.47128690043310867,0.45423148690977005,0.40383858613467594,1.1247847593203701,0.08764818227413425,8.533333333333333,8,0.2752818614244461,0.24916246719658375,-0.026119394227862358,-0.20895515382289886,0,0.03125,0.47012762225743493,0.4791696851314192,0.447950457245343,-0.07778525451819102,0,0.4805634855091191,-0.12214571237564087,0,0.4695014812255638,nan,0.007067640116694451
pi05_base,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,0.0,0.0,0.41524257619431404,0.40717760319924257,0.40187427739008963,1.013196479863291,0.009588474404711483,7.666666666666667,8,0.09092159693439801,0.09098662591228883,6.502897789080941e-05,0.0005202318231264754,1,0.9652173913043478,0.5003064817701103,0.500294985976453,0.5001300579528484,0.0004089700523763896,1,0.500102242511669,0.0017206141104300818,1,0.5004301534214847,0.1391304347826087,0.0017242586059074178
pi05_base,C0,0,2026_08_16_03_14_57_283218_L0_right_C0,right,0.0,0.0,0.41524257619325017,0.40697991835286307,0.40186166180211164,1.0127363643692684,0.008598247114851035,7.666666666666667,8,0.11809268935273091,0.11786303545037904,-0.00022965390235185612,-0.001837231218814849,0,0.45217391304347826,0.49975940538610125,0.5000383391868807,0.49954069232449255,0.00421437396047016,1,0.5010535919307187,-0.002134009342019756,0,0.4994664978669589,nan,0.00132781008586448
pi05_base,C1,1,2026_08_16_23_53_01_150254_L0_left_C1,left,0.5,0.04236371893517335,0.41937031904664823,0.4074471176180543,0.4043400863822771,1.0076842028292978,0.01607145575640499,7.733333333333333,8,0.07777968747541308,0.07735769310966134,-0.0004219943657517433,-0.003375954926013946,0,0.034482758620689655,0.49948444265590153,0.499568364434146,0.4991560120700789,-0.0018721479301651316,0,0.49953196315416204,-0.002989834795395533,0,0.49925254185795204,nan,0.001410280381154073
