method,overall_accuracy,left_accuracy,right_accuracy,seed_pooled_accuracy,left_seed_pooled_accuracy,right_seed_pooled_accuracy
flat,0.75,1.0,0.5,0.7583333333333333,0.9666666666666667,0.5499999999999999
linear,0.7916666666666666,1.0,0.5833333333333334,0.8041666666666666,1.0,0.6083333333333334
exponential,0.7916666666666666,1.0,0.5833333333333334,0.7458333333333332,1.0,0.4916666666666667
