condition,episode_id,target_side,grasp_x,grasp_y,grasp_z,vla_predicted_side,vla_final_correct,vla_early_auc,vla_cumulative_margin,nearest_same_xyz_m,nearest_opposite_xyz_m,opposite_minus_same_xyz_m,nearest_any_xyz_m,nearest_any_xyz_side,opposite_closer_xyz,vla_matches_nearest_xyz_side,nearest_same_x_m,nearest_opposite_x_m,opposite_minus_same_x_m,nearest_any_x_m,nearest_any_x_side,opposite_closer_x,vla_matches_nearest_x_side,nearest_same_y_m,nearest_opposite_y_m,opposite_minus_same_y_m,nearest_any_y_m,nearest_any_y_side,opposite_closer_y,vla_matches_nearest_y_side,nearest_same_z_m,nearest_opposite_z_m,opposite_minus_same_z_m,nearest_any_z_m,nearest_any_z_side,opposite_closer_z,vla_matches_nearest_z_side
C0_natural_direct,Sun_Aug__9_19:29:02_2026,left,0.7106297612190247,0.0211503803730011,0.19861921668052673,right,0,0.10589503379254957,-0.12644483894109723,0.02162428254642861,0.05296648467940928,0.03134220213298067,0.02162428254642861,left,0,0,0.00957721471786499,0.008968353271484375,-0.0006088614463806152,0.008968353271484375,right,1,1,0.0021198540925979614,0.0421223659068346,0.04000251181423664,0.0021198540925979614,left,0,0,6.51627779006958e-05,0.0006909817457199097,0.0006258189678192139,6.51627779006958e-05,left,0,0
C0_natural_direct,Sun_Aug__9_19:29:23_2026,right,0.6723881363868713,-0.07238584756851196,0.1930476427078247,left,0,0.04494712244098846,-0.15711433440446854,0.011318771217650047,0.05172541892991177,0.04040664771226172,0.011318771217650047,right,0,0,0.0024722814559936523,0.008145689964294434,0.005673408508300781,0.0024722814559936523,right,0,0,0.0012792721390724182,0.013549640774726868,0.01227036863565445,0.0012792721390724182,right,0,0,0.001387566328048706,0.0008820295333862305,-0.0005055367946624756,0.0008820295333862305,left,1,1
C1_mild_exaggeration,Sun_Aug__9_19:30:32_2026,left,0.7162759900093079,0.04476030915975571,0.1793065071105957,left,1,0.9510253446052618,0.024930573999881737,0.030643364152324642,0.07561425938893596,0.04497089523661131,0.030643364152324642,left,0,1,0.003930985927581787,0.014614582061767578,0.010683596134185791,0.003930985927581787,left,0,1,0.00873083621263504,0.06573229469358921,0.05700145848095417,0.00873083621263504,left,0,1,0.002430543303489685,7.152557373046875e-07,-0.0024298280477523804,7.152557373046875e-07,right,1,0
C1_mild_exaggeration,Sun_Aug__9_19:31:21_2026,right,0.7046167254447937,-0.06779393553733826,0.18276159465312958,left,0,0.6495488269933174,-0.0013284931580225603,0.01248835747594439,0.07294456818695956,0.060456210711015174,0.01248835747594439,right,0,0,0.002955317497253418,0.015590250492095947,0.01263493299484253,0.002955317497253418,right,0,0,0.0017667338252067566,0.018141552805900574,0.016374818980693817,0.0017667338252067566,right,0,0,0.0006219595670700073,0.0021399259567260742,0.001517966389656067,0.0006219595670700073,right,0,0
C2_strong_exaggeration,Sun_Aug__9_19:33:31_2026,left,0.7137541174888611,0.026287563145160675,0.19072960317134857,left,1,0.9481577153729636,0.4248654022812843,0.019320380466528175,0.05805633561015008,0.0387359551436219,0.019320380466528175,left,0,1,0.0064528584480285645,0.0120927095413208,0.005639851093292236,0.0064528584480285645,left,0,1,0.0012066327035427094,0.04725954867899418,0.04605291597545147,0.0012066327035427094,left,0,1,0.0003102123737335205,0.0008090734481811523,0.0004988610744476318,0.0003102123737335205,left,0,1
C2_strong_exaggeration,Sun_Aug__9_19:33:54_2026,right,0.7339996099472046,-0.07325951009988785,0.18989530205726624,left,0,0.04657726206607595,-0.11495359738667806,0.008899811768168692,0.07805348052151653,0.06915366875334784,0.008899811768168692,right,0,0,0.0019151568412780762,0.012543261051177979,0.010628104209899902,0.0019151568412780762,right,0,0,0.0004056096076965332,0.012675978243350983,0.01227036863565445,0.0004056096076965332,right,0,0,0.0008355677127838135,0.0009443461894989014,0.00010877847671508789,0.0008355677127838135,right,0,0
C3_extreme_exaggeration,Sun_Aug__9_19:34:35_2026,right,0.6169561743736267,-0.08650248497724533,0.1842198371887207,right,1,0.8551329614820311,0.13645461201667786,0.030838250503577216,0.027419419655399176,-0.0034188308481780394,0.027419419655399176,left,1,0,0.0076773762702941895,0.006422817707061768,-0.0012545585632324219,0.006422817707061768,left,1,0,0.0015174150466918945,0.0005669966340065002,-0.0009504184126853943,0.0005669966340065002,left,1,0,0.00032061338424682617,0.0006816834211349487,0.00036107003688812256,0.00032061338424682617,right,0,1
C3_extreme_exaggeration,Sun_Aug__9_19:35:12_2026,left,0.6429985761642456,0.016098998486995697,0.18907585740089417,right,0,0.45703804043858837,-0.19227279722690582,0.004608044527954979,0.05244661203834477,0.04783856751038979,0.004608044527954979,left,0,0,0.0011882185935974121,0.0009949803352355957,-0.0001932382583618164,0.0009949803352355957,right,1,1,0.0016315197572112083,0.0370709840208292,0.03543946426361799,0.0016315197572112083,left,0,0,0.00012490153312683105,1.6123056411743164e-05,-0.00010877847671508789,1.6123056411743164e-05,right,1,1
