condition,target,init_state_index,repeat_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,first_guidance_scale,mean_post_first_guidance_scale,max_post_first_guidance_scale,belief_negative_after_first_chunk,initial_observation_sha256,metadata_path
base,bowl_stove,18,0,True,124,25,1.061059837239243,19.915911046682208,0.0,0.0,0.0,nan,f200bcbe6a330400eb5b4e3fff9f024328dcef572bff8088b8b1db097d9f92d6,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init18_repeat0_success.json
base,bowl_stove,18,1,True,91,19,0.8305857753782004,14.598056941541032,0.0,0.0,0.0,nan,f200bcbe6a330400eb5b4e3fff9f024328dcef572bff8088b8b1db097d9f92d6,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init18_repeat1_success.json
base,bowl_stove,19,0,True,81,17,0.8187958787825567,10.837181468111043,0.0,0.0,0.0,nan,780e8e58223ce13aa6b8fadff5aeb005bed932f61bc1c05c3cbab9283b6cf61c,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init19_repeat0_success.json
base,bowl_stove,19,1,True,86,18,0.7837098762338884,10.352983232451836,0.0,0.0,0.0,nan,780e8e58223ce13aa6b8fadff5aeb005bed932f61bc1c05c3cbab9283b6cf61c,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init19_repeat1_success.json
base,bowl_stove,1,0,True,84,17,0.8497144271107587,11.016818499974404,0.0,0.0,0.0,nan,13a7a22120f070bff335b4e6a1e7e59320f349214027430ffcd5bbade7ab507d,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init1_repeat0_success.json
base,bowl_stove,1,1,True,82,17,0.832871134217574,10.797932957184688,0.0,0.0,0.0,nan,13a7a22120f070bff335b4e6a1e7e59320f349214027430ffcd5bbade7ab507d,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init1_repeat1_success.json
base,bowl_stove,20,0,True,81,17,0.7984895788446048,10.619204181973313,0.0,0.0,0.0,nan,a9e351354ffaedd071834081dc6570655786a958d56df750df3ff51f21ed0129,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init20_repeat0_success.json
base,bowl_stove,20,1,True,82,17,0.8164922087245605,10.367839273858344,0.0,0.0,0.0,nan,a9e351354ffaedd071834081dc6570655786a958d56df750df3ff51f21ed0129,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init20_repeat1_success.json
base,bowl_stove,21,0,True,88,18,0.8449222014094158,10.928762186577389,0.0,0.0,0.0,nan,476a72988205b657058007ddf39b07e41b2bae58a04bca56bb762122813eeaf7,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init21_repeat0_success.json
base,bowl_stove,21,1,True,85,17,0.8249084437977415,10.152530670559921,0.0,0.0,0.0,nan,476a72988205b657058007ddf39b07e41b2bae58a04bca56bb762122813eeaf7,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init21_repeat1_success.json
base,bowl_stove,22,0,True,87,18,0.8028198024762968,10.385697072607119,0.0,0.0,0.0,nan,cce410bde3069654ed62acd1d9707b8292f3412cd818626f4e57c103b585a27c,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init22_repeat0_success.json
base,bowl_stove,22,1,True,87,18,0.8305672488747052,10.448414288766632,0.0,0.0,0.0,nan,cce410bde3069654ed62acd1d9707b8292f3412cd818626f4e57c103b585a27c,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init22_repeat1_success.json
base,bowl_stove,23,0,True,86,18,0.8092037723287714,10.521219550185286,0.0,0.0,0.0,nan,6774aa410ef0842b769689eb19968b203b55159827d6fa8a52712851de722509,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init23_repeat0_success.json
base,bowl_stove,23,1,True,85,17,0.812609396882795,10.679116812777227,0.0,0.0,0.0,nan,6774aa410ef0842b769689eb19968b203b55159827d6fa8a52712851de722509,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init23_repeat1_success.json
base,bowl_stove,24,0,True,94,19,0.8594375154476733,10.656253141836716,0.0,0.0,0.0,nan,4d92e6b79e8c19b4242d8df75b1bff2884167bddd40db1ec96d2733e2a888850,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init24_repeat0_success.json
base,bowl_stove,24,1,True,93,19,0.83462927082804,10.01477054356167,0.0,0.0,0.0,nan,4d92e6b79e8c19b4242d8df75b1bff2884167bddd40db1ec96d2733e2a888850,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init24_repeat1_success.json
base,bowl_stove,25,0,True,85,17,0.8249167749386619,10.558401611398255,0.0,0.0,0.0,nan,14ed1b20fd67762cd1e81b5bf76314689b7e5818d56ee76bbaf161fd812c6094,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init25_repeat0_success.json
base,bowl_stove,25,1,True,86,18,0.8426878134802656,10.937796670932608,0.0,0.0,0.0,nan,14ed1b20fd67762cd1e81b5bf76314689b7e5818d56ee76bbaf161fd812c6094,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init25_repeat1_success.json
base,bowl_stove,26,0,True,95,19,0.8787935079248467,10.963390254879592,0.0,0.0,0.0,nan,4e905009c8d70ec360f4bce51fda28dffda50e6997b4112069348c385628c6b9,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init26_repeat0_success.json
base,bowl_stove,26,1,True,90,18,0.8257376984730512,10.552833624882018,0.0,0.0,0.0,nan,4e905009c8d70ec360f4bce51fda28dffda50e6997b4112069348c385628c6b9,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init26_repeat1_success.json
base,bowl_stove,27,0,True,89,18,0.8184816656868968,10.81612540436151,0.0,0.0,0.0,nan,f9ff58d39972708d5ee74d9d941d946b5770affe8fdeec80496a5623912cef32,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init27_repeat0_success.json
base,bowl_stove,27,1,True,90,18,0.8344962042951826,10.293828824743331,0.0,0.0,0.0,nan,f9ff58d39972708d5ee74d9d941d946b5770affe8fdeec80496a5623912cef32,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init27_repeat1_success.json
base,bowl_stove,28,0,True,87,18,0.7945594079874311,10.960497289335269,0.0,0.0,0.0,nan,1f6ce2c40ec9451b3155d30d83179a7cc803e5a02944693a67333a3f09b4cf83,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init28_repeat0_success.json
base,bowl_stove,28,1,True,89,18,0.8242935879577513,10.889006147213893,0.0,0.0,0.0,nan,1f6ce2c40ec9451b3155d30d83179a7cc803e5a02944693a67333a3f09b4cf83,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init28_repeat1_success.json
base,bowl_stove,29,0,True,96,20,0.8145131877054637,12.758260359870684,0.0,0.0,0.0,nan,b477dbae0d63d314d5575b4662ec4183e121aba9fc4aa46a25bbc7f01b9a755b,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init29_repeat0_success.json
base,bowl_stove,29,1,True,96,20,0.8176799616439413,13.100752224841617,0.0,0.0,0.0,nan,b477dbae0d63d314d5575b4662ec4183e121aba9fc4aa46a25bbc7f01b9a755b,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init29_repeat1_success.json
base,bowl_stove,2,0,True,90,18,0.8626631951841106,10.277438437273355,0.0,0.0,0.0,nan,c45e15a12216f33547353c6b78dc5cf23f291e9403da58e8ac475b35a025df8f,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init2_repeat0_success.json
base,bowl_stove,2,1,True,87,18,0.8334496977368744,10.388122230105994,0.0,0.0,0.0,nan,c45e15a12216f33547353c6b78dc5cf23f291e9403da58e8ac475b35a025df8f,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init2_repeat1_success.json
base,bowl_stove,30,0,True,119,24,0.9911469448216819,21.022569316053026,0.0,0.0,0.0,nan,7dc96eccb82434e86eb4953ece687564dfb0a9b1bcd3ef4debf1478bf4a9558f,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init30_repeat0_success.json
base,bowl_stove,30,1,True,85,17,0.7964189110354096,11.073806736111408,0.0,0.0,0.0,nan,7dc96eccb82434e86eb4953ece687564dfb0a9b1bcd3ef4debf1478bf4a9558f,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init30_repeat1_success.json
base,bowl_stove,31,0,True,82,17,0.8152132946454196,10.276694707380978,0.0,0.0,0.0,nan,f33bcafa1432afaf0cb99ea4e11e7f9cbbe9cdabc592220af86fc04f29038d29,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init31_repeat0_success.json
base,bowl_stove,31,1,True,82,17,0.8108605953960243,10.114644656660982,0.0,0.0,0.0,nan,f33bcafa1432afaf0cb99ea4e11e7f9cbbe9cdabc592220af86fc04f29038d29,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init31_repeat1_success.json
base,bowl_stove,32,0,True,84,17,0.7981709435369532,10.552093670528818,0.0,0.0,0.0,nan,d7bf5bc7dedb6777b52d0391fdcef4b6f62ba73b60f03876dc59e0111ec80315,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init32_repeat0_success.json
base,bowl_stove,32,1,True,87,18,0.8259392763782224,11.218653451592782,0.0,0.0,0.0,nan,d7bf5bc7dedb6777b52d0391fdcef4b6f62ba73b60f03876dc59e0111ec80315,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init32_repeat1_success.json
base,bowl_stove,33,0,True,88,18,0.7944420471796123,9.945886419387598,0.0,0.0,0.0,nan,cf9683a080eb329fca0ac6ce0988d0dda2fb67a3c9ad1d28b86c8e836c7af5cc,artifacts/goal_cream_bowl_steering_formal_100/goal_cream_bowl_base_bowl_stove_init33_repeat0_success.json
