episode_id,layout_id,condition,alpha_normalized,alpha_m,target_color,target_side,blue_block_side,red_block_side,instruction,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_blue,energy_red,energy_true,energy_alternative,margin_blue_minus_red,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,0,8,0.3,0.7,8,0.34503304958343506,0.3259741961956024,0.34503304958343506,0.3259741961956024,0.01905885338783264,-0.01905885338783264,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,1,8,0.3,0.7,8,0.2518719434738159,0.23166358470916748,0.2518719434738159,0.23166358470916748,0.020208358764648438,-0.020208358764648438,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,2,8,0.3,0.7,8,0.3598480522632599,0.3430350124835968,0.3598480522632599,0.3430350124835968,0.016813039779663086,-0.016813039779663086,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,3,8,0.3,0.7,8,0.2604408264160156,0.2458723932504654,0.2604408264160156,0.2458723932504654,0.014568433165550232,-0.014568433165550232,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,4,8,0.3,0.7,8,0.23319588601589203,0.21784386038780212,0.23319588601589203,0.21784386038780212,0.015352025628089905,-0.015352025628089905,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,5,8,0.3,0.7,8,0.39840462803840637,0.37592142820358276,0.39840462803840637,0.37592142820358276,0.02248319983482361,-0.02248319983482361,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,6,8,0.3,0.7,8,0.3462968170642853,0.323040246963501,0.3462968170642853,0.323040246963501,0.023256570100784302,-0.023256570100784302,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,7,8,0.3,0.7,8,0.3193839192390442,0.3018026053905487,0.3193839192390442,0.3018026053905487,0.017581313848495483,-0.017581313848495483,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,8,8,0.3,0.7,8,0.17870737612247467,0.17858768999576569,0.17870737612247467,0.17858768999576569,0.00011968612670898438,-0.00011968612670898438,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,9,8,0.3,0.7,8,0.3433590233325958,0.32876425981521606,0.3433590233325958,0.32876425981521606,0.01459476351737976,-0.01459476351737976,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,0,8,0.3,0.7,8,0.3003147840499878,0.2689759135246277,0.3003147840499878,0.2689759135246277,0.03133887052536011,-0.03133887052536011,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,1,8,0.3,0.7,8,0.24283367395401,0.22997146844863892,0.24283367395401,0.22997146844863892,0.012862205505371094,-0.012862205505371094,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,2,8,0.3,0.7,8,0.2982128858566284,0.268064022064209,0.2982128858566284,0.268064022064209,0.030148863792419434,-0.030148863792419434,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,3,8,0.3,0.7,8,0.2439485341310501,0.23158645629882812,0.2439485341310501,0.23158645629882812,0.012362077832221985,-0.012362077832221985,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,4,8,0.3,0.7,8,0.34626704454421997,0.31786054372787476,0.34626704454421997,0.31786054372787476,0.028406500816345215,-0.028406500816345215,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,5,8,0.3,0.7,8,0.27663809061050415,0.27612361311912537,0.27663809061050415,0.27612361311912537,0.0005144774913787842,-0.0005144774913787842,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,6,8,0.3,0.7,8,0.34863340854644775,0.31207573413848877,0.34863340854644775,0.31207573413848877,0.036557674407958984,-0.036557674407958984,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,7,8,0.3,0.7,8,0.2695454955101013,0.25774329900741577,0.2695454955101013,0.25774329900741577,0.011802196502685547,-0.011802196502685547,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,8,8,0.3,0.7,8,0.20455455780029297,0.19521433115005493,0.20455455780029297,0.19521433115005493,0.009340226650238037,-0.009340226650238037,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,9,8,0.3,0.7,8,0.2485940158367157,0.22213836014270782,0.2485940158367157,0.22213836014270782,0.026455655694007874,-0.026455655694007874,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,0,8,0.3,0.7,8,0.381666362285614,0.3411276340484619,0.381666362285614,0.3411276340484619,0.0405387282371521,-0.0405387282371521,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,1,8,0.3,0.7,8,0.30848515033721924,0.29445916414260864,0.30848515033721924,0.29445916414260864,0.014025986194610596,-0.014025986194610596,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,2,8,0.3,0.7,8,0.3605479896068573,0.3341177999973297,0.3605479896068573,0.3341177999973297,0.026430189609527588,-0.026430189609527588,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,3,8,0.3,0.7,8,0.27170529961586,0.23936647176742554,0.27170529961586,0.23936647176742554,0.03233882784843445,-0.03233882784843445,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,4,8,0.3,0.7,8,0.2816888093948364,0.2793150246143341,0.2816888093948364,0.2793150246143341,0.0023737847805023193,-0.0023737847805023193,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,5,8,0.3,0.7,8,0.2857903838157654,0.2679027020931244,0.2857903838157654,0.2679027020931244,0.01788768172264099,-0.01788768172264099,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,6,8,0.3,0.7,8,0.3178583085536957,0.2845934331417084,0.3178583085536957,0.2845934331417084,0.033264875411987305,-0.033264875411987305,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,7,8,0.3,0.7,8,0.26435238122940063,0.2518636882305145,0.26435238122940063,0.2518636882305145,0.012488692998886108,-0.012488692998886108,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,8,8,0.3,0.7,8,0.23723864555358887,0.23674744367599487,0.23723864555358887,0.23674744367599487,0.0004912018775939941,-0.0004912018775939941,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,9,8,0.3,0.7,8,0.30627596378326416,0.2988879084587097,0.30627596378326416,0.2988879084587097,0.007388055324554443,-0.007388055324554443,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,0,8,0.3,0.7,8,0.19841274619102478,0.22854191064834595,0.19841274619102478,0.22854191064834595,-0.030129164457321167,0.030129164457321167,0.5210071206092834,0.018530013039708138,0.31376373767852783
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,1,8,0.3,0.7,8,0.30608123540878296,0.2541278600692749,0.30608123540878296,0.2541278600692749,0.05195337533950806,-0.05195337533950806,0.5210071206092834,0.018530013039708138,0.31376373767852783
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,2,8,0.3,0.7,8,0.37252822518348694,0.31791406869888306,0.37252822518348694,0.31791406869888306,0.05461415648460388,-0.05461415648460388,0.5210071206092834,0.018530013039708138,0.31376373767852783
