condition,episode_id,target_side,base_correct,finetuned_correct,base_predicted_side,finetuned_predicted_side,outcome_change,base_cumulative_margin,finetuned_cumulative_margin,base_normalized_contrast,finetuned_normalized_contrast,base_raw_sign_early_auc,finetuned_raw_sign_early_auc,base_true_energy,finetuned_true_energy
C0_natural_direct,Sun_Aug__9_19:29:02_2026,left,1,0,left,right,correct_to_wrong,0.015854289134343467,-0.12644483894109723,0.004692195632762462,-0.0661278410702306,0.7619047619047619,0.047619047619047616,0.28025077780087787,0.16988099738955498
C0_natural_direct,Sun_Aug__9_19:29:23_2026,right,0,0,left,left,stayed_wrong,-0.07234295705954234,-0.15711433440446854,-0.024004126256504527,-0.06018389261204812,0.0449438202247191,0.0449438202247191,0.25717622372839183,0.23064045794308188
C1_mild_exaggeration,Sun_Aug__9_19:30:32_2026,left,1,1,left,left,stayed_correct,0.042867511510848985,0.024930573999881737,0.011502217635108801,0.010518483148216164,0.9560439560439561,0.9560439560439561,0.30700195829073584,0.19543646669222248
C1_mild_exaggeration,Sun_Aug__9_19:31:21_2026,right,1,0,right,left,correct_to_wrong,0.041277954975763954,-0.0013284931580225603,0.010461846706873865,-0.0004442128059575878,0.9591836734693878,0.7857142857142857,0.2788780473527454,0.21371405678136007
C2_strong_exaggeration,Sun_Aug__9_19:33:31_2026,left,1,1,left,left,stayed_correct,0.3400833110014597,0.4248654022812843,0.0844902656023648,0.13441146582600833,0.9534883720930233,0.9534883720930233,0.30708624588118666,0.2280054870578978
C2_strong_exaggeration,Sun_Aug__9_19:33:54_2026,right,1,0,right,left,correct_to_wrong,0.02481459577878316,-0.11495359738667806,0.006215958498387148,-0.02768380613725988,0.39285714285714285,0.03571428571428571,0.2833760104009083,0.3048093219598134
C3_extreme_exaggeration,Sun_Aug__9_19:34:35_2026,right,1,1,right,right,stayed_correct,0.1118363340695699,0.13645461201667786,0.01579631811768379,0.014217737426078335,0.9768786127167629,0.791907514450867,0.3167301131920381,0.4300471246242523
C3_extreme_exaggeration,Sun_Aug__9_19:35:12_2026,left,1,0,left,right,correct_to_wrong,0.21282542248566946,-0.19227279722690582,0.03934083215654078,-0.04272714782484569,0.9701492537313433,0.5074626865671641,0.2887199465875272,0.2606826438396065
