run,config_name,train_final_accuracy,test_final_accuracy,train_calibrated_early_auc,test_calibrated_early_auc,train_raw_sign_early_auc,test_raw_sign_early_auc,train_true_energy,test_true_energy,test_to_train_energy_ratio,train_normalized_contrast,test_normalized_contrast,train_absolute_contrast,test_absolute_contrast,posterior_temperature
fine_tuned_39999_h16,pi05_droid_finetune,0.96875,0.375,0.8542963407839712,0.5072902883989721,0.9001785468744177,0.5153617460534186,0.015010369930747574,0.2541520695359737,16.931765886419825,0.28401362235447286,-0.0047524017562548815,0.2865210089796101,0.04453932335633059,0.0036643757464783332
base_pi05_droid_h16,pi05_droid_finetune,0.59375,0.875,0.5000000571244987,0.5018057960569978,0.5418773498050948,0.7519311991301372,0.3024360558177005,0.2899024154043014,0.9585577176652706,0.002518662583149982,0.01856193851165214,0.02448063392449292,0.024562970075778272,9.246981739382221
base_pi05_droid_native_h15,pi05_droid,0.5625,0.875,0.499975979038902,0.502936558932241,0.5010690386910084,0.7585069277559322,0.2951888182862026,0.2880216748872525,0.975720139263537,0.0029568863538049286,0.01740793644742525,0.023377340560553045,0.02360394133810248,5.296634438916575
