episode_id,target_side_base,visual_condition,chunk_index,progress_pregrasp,margin_mean,margin_seed_sd,right_support_rate,cumulative_margin
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,0,0.10256410256410256,-0.03175556212663651,0.01570018345993506,0.0,-0.03175556212663651
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,1,0.20512820512820512,-0.0436931237578392,0.02143812608714589,0.0,-0.0754486858844757
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,2,0.3076923076923077,-0.168775475025177,0.024344250972916145,0.0,-0.2442241609096527
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,3,0.41025641025641024,-0.08718239068984986,0.015634575367989675,0.0,-0.33140655159950255
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,4,0.5128205128205128,-0.028730887174606323,0.010067393303224165,0.0,-0.36013743877410886
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,5,0.6153846153846154,0.007135187089443207,0.0051896732617575,0.9,-0.35300225168466565
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,6,0.717948717948718,0.007206358015537262,0.003356712429126561,1.0,-0.3457958936691284
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,7,0.8205128205128205,-0.005798801779747009,0.003275220443851533,0.0,-0.35159469544887545
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,8,0.9230769230769231,-0.01388552188873291,0.002882873839933877,0.0,-0.3654802173376084
2026_08_17_02_29_03_938361_L1_left_C2,left,both_hflip,9,1.0,0.0017191827297210692,0.001151221757502071,0.9,-0.36376103460788733
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,0,0.10256410256410256,-0.020778545737266542,0.013994607650148207,0.2,-0.020778545737266542
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,1,0.20512820512820512,-0.08901592642068863,0.021617038536017003,0.0,-0.10979447215795518
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,2,0.3076923076923077,-0.128434057533741,0.016912255979794556,0.0,-0.23822852969169617
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,3,0.41025641025641024,-0.0733845591545105,0.012116605238472841,0.0,-0.31161308884620664
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,4,0.5128205128205128,0.011023196578025817,0.008729303927526438,1.0,-0.30058989226818084
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,5,0.6153846153846154,0.01322508156299591,0.0037672547300496677,1.0,-0.28736481070518494
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,6,0.717948717948718,-0.0013183921575546265,0.0019579274364086513,0.4,-0.2886832028627396
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,7,0.8205128205128205,-0.010331018269062043,0.004266386761357455,0.0,-0.2990142211318016
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,8,0.9230769230769231,-0.010283860564231872,0.0034339636854525146,0.0,-0.30929808169603346
2026_08_17_02_29_03_938361_L1_left_C2,left,exterior_hflip,9,1.0,0.0015278637409210205,0.0022850305462223993,0.8,-0.30777021795511245
2026_08_17_02_29_03_938361_L1_left_C2,left,original,0,0.10256410256410256,-0.04832078218460083,0.020619242981053696,0.0,-0.04832078218460083
2026_08_17_02_29_03_938361_L1_left_C2,left,original,1,0.20512820512820512,-0.1061780646443367,0.021302232039879614,0.0,-0.15449884682893752
2026_08_17_02_29_03_938361_L1_left_C2,left,original,2,0.3076923076923077,-0.08833592683076859,0.018648624578544444,0.0,-0.24283477365970613
2026_08_17_02_29_03_938361_L1_left_C2,left,original,3,0.41025641025641024,-0.010748954117298126,0.004712388957967237,0.0,-0.2535837277770043
2026_08_17_02_29_03_938361_L1_left_C2,left,original,4,0.5128205128205128,0.03308203369379044,0.011380323001160422,1.0,-0.22050169408321385
2026_08_17_02_29_03_938361_L1_left_C2,left,original,5,0.6153846153846154,0.020782877504825593,0.004453338819207262,1.0,-0.19971881657838825
2026_08_17_02_29_03_938361_L1_left_C2,left,original,6,0.717948717948718,0.008532185852527619,0.0027855107964960984,1.0,-0.19118663072586062
2026_08_17_02_29_03_938361_L1_left_C2,left,original,7,0.8205128205128205,-0.00017560124397277831,0.0017485188368095209,0.5,-0.19136223196983335
2026_08_17_02_29_03_938361_L1_left_C2,left,original,8,0.9230769230769231,-0.005513843894004822,0.0036811470387572215,0.0,-0.19687607586383818
2026_08_17_02_29_03_938361_L1_left_C2,left,original,9,1.0,-0.001131904125213623,0.0004341537035082058,0.0,-0.1980079799890518
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,0,0.10256410256410256,-0.0446625292301178,0.01179368718799022,0.0,-0.0446625292301178
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,1,0.20512820512820512,-0.03524511456489563,0.020992252854188976,0.1,-0.07990764379501343
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,2,0.3076923076923077,-0.0391834557056427,0.006831829529029265,0.0,-0.11909109950065613
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,3,0.41025641025641024,-0.011911965906620026,0.009126023042512808,0.1,-0.13100306540727616
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,4,0.5128205128205128,-0.017166438698768615,0.01094406801070073,0.1,-0.14816950410604476
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,5,0.6153846153846154,0.0020142659544944764,0.0053458249127035515,0.7,-0.1461552381515503
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,6,0.717948717948718,0.007736091315746307,0.0013299319239303657,1.0,-0.13841914683580397
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,7,0.8205128205128205,0.0014908462762832642,0.0022102207518701544,0.7,-0.13692830055952074
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,8,0.9230769230769231,-0.014041823148727418,0.004801294906990212,0.0,-0.15097012370824817
2026_08_17_02_29_03_938361_L1_left_C2,left,wrist_hflip,9,1.0,0.0014536216855049132,0.0010933225719224119,0.8,-0.14951650202274325
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,0,0.10256410256410256,0.017949604988098146,0.021436823692504364,0.7,0.017949604988098146
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,1,0.20512820512820512,0.04732278883457184,0.012899645471212907,1.0,0.06527239382266999
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,2,0.3076923076923077,-0.006003975868225098,0.01794237944618034,0.4,0.05926841795444489
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,3,0.41025641025641024,0.009236730635166168,0.00983581954835857,0.7,0.06850514858961106
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,4,0.5128205128205128,-0.0012421756982803345,0.008723998986411635,0.2,0.06726297289133072
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,5,0.6153846153846154,-0.04902240931987763,0.007100686134116028,0.0,0.018240563571453094
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,6,0.717948717948718,-0.06031153798103332,0.011550316859056258,0.0,-0.04207097440958023
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,7,0.8205128205128205,0.002860933542251587,0.0013655699990897572,1.0,-0.03921004086732864
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,8,0.9230769230769231,-0.01145918369293213,0.0017464062112514073,0.0,-0.05066922456026077
2026_08_17_02_30_47_786891_L1_right_C2,right,both_hflip,9,1.0,0.0030958950519561768,0.002117220002236703,0.9,-0.04757332950830459
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,0,0.10256410256410256,0.02649654746055603,0.03721729929383184,0.7,0.02649654746055603
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,1,0.20512820512820512,0.024269576370716094,0.011134862748979188,1.0,0.050766123831272124
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,2,0.3076923076923077,0.006035380065441132,0.005124696754858528,0.9,0.056801503896713255
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,3,0.41025641025641024,0.013240055739879608,0.002318490433756385,1.0,0.07004155963659286
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,4,0.5128205128205128,-0.007901176810264587,0.002821494818710365,0.0,0.06214038282632828
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,5,0.6153846153846154,-0.006476309895515442,0.0017675723787579777,0.0,0.05566407293081284
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,6,0.717948717948718,-0.023042143881320955,0.007667226763637958,0.0,0.032621929049491884
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,7,0.8205128205128205,-0.008701971173286438,0.0017188733357427085,0.0,0.023919957876205447
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,8,0.9230769230769231,-0.0015953361988067627,0.002311849431303636,0.3,0.022324621677398685
2026_08_17_02_30_47_786891_L1_right_C2,right,exterior_hflip,9,1.0,-0.00037926733493804933,0.0003546078703311244,0.2,0.021945354342460636
2026_08_17_02_30_47_786891_L1_right_C2,right,original,0,0.10256410256410256,0.061167144775390626,0.033571224409540745,1.0,0.061167144775390626
2026_08_17_02_30_47_786891_L1_right_C2,right,original,1,0.20512820512820512,0.006304235756397247,0.0314145819794135,0.5,0.06747138053178788
2026_08_17_02_30_47_786891_L1_right_C2,right,original,2,0.3076923076923077,-0.012017683684825897,0.01217126766379757,0.1,0.055453696846961976
2026_08_17_02_30_47_786891_L1_right_C2,right,original,3,0.41025641025641024,-0.033672106266021726,0.018305684065992228,0.0,0.02178159058094025
2026_08_17_02_30_47_786891_L1_right_C2,right,original,4,0.5128205128205128,-0.05594681203365326,0.01820038227851687,0.0,-0.03416522145271301
2026_08_17_02_30_47_786891_L1_right_C2,right,original,5,0.6153846153846154,-0.03620250970125198,0.00681802979548617,0.0,-0.070367731153965
2026_08_17_02_30_47_786891_L1_right_C2,right,original,6,0.717948717948718,-0.055270794034004214,0.013911829725303452,0.0,-0.1256385251879692
2026_08_17_02_30_47_786891_L1_right_C2,right,original,7,0.8205128205128205,-0.02312719225883484,0.003250679599652429,0.0,-0.14876571744680406
2026_08_17_02_30_47_786891_L1_right_C2,right,original,8,0.9230769230769231,-0.012982782721519471,0.0028943343024796244,0.0,-0.16174850016832354
2026_08_17_02_30_47_786891_L1_right_C2,right,original,9,1.0,0.0007751017808914184,0.0006629156227077009,0.8,-0.16097339838743213
2026_08_17_02_30_47_786891_L1_right_C2,right,wrist_hflip,0,0.10256410256410256,0.011546975374221802,0.01856597931818696,0.8,0.011546975374221802
2026_08_17_02_30_47_786891_L1_right_C2,right,wrist_hflip,1,0.20512820512820512,0.023361268639564513,0.030360796644481058,0.8,0.03490824401378632
