episode_id,target_side_base,target_side_exterior_camera,chunk_index,progress_pregrasp,seed,visual_condition,energy_left,energy_right,margin_left_minus_right
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,0,original,0.2591371238231659,0.31683385372161865,-0.05769672989845276
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,0,exterior_hflip,0.2794875502586365,0.3004865050315857,-0.02099895477294922
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,0,wrist_hflip,0.2784712016582489,0.3326970040798187,-0.054225802421569824
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,0,both_hflip,0.3130616545677185,0.34526166319847107,-0.032200008630752563
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,1,original,0.22985422611236572,0.24460084736347198,-0.014746621251106262
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,1,exterior_hflip,0.26681122183799744,0.26457929611206055,0.0022319257259368896
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,1,wrist_hflip,0.26080143451690674,0.28221455216407776,-0.02141311764717102
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,1,both_hflip,0.31214702129364014,0.31661084294319153,-0.004463821649551392
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,2,original,0.2451169490814209,0.32008588314056396,-0.07496893405914307
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,2,exterior_hflip,0.2667527496814728,0.29778140783309937,-0.031028658151626587
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,2,wrist_hflip,0.27938637137413025,0.3354301452636719,-0.056043773889541626
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,2,both_hflip,0.30199989676475525,0.34841710329055786,-0.04641720652580261
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,3,original,0.20906108617782593,0.262365460395813,-0.05330437421798706
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,3,exterior_hflip,0.22485846281051636,0.25039559602737427,-0.02553713321685791
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,3,wrist_hflip,0.22450394928455353,0.27350154519081116,-0.04899759590625763
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,3,both_hflip,0.25447946786880493,0.29511141777038574,-0.04063194990158081
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,4,original,0.15289177000522614,0.1979971081018448,-0.04510533809661865
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,4,exterior_hflip,0.15693511068820953,0.17806628346443176,-0.02113117277622223
2026_08_17_02_29_03_938361_L1_left_C2,left,right,0,0.10256410256410256,4,wrist_hflip,0.1635705828666687,0.20861971378326416,-0.04504913091659546
