split,condition,pair_index,episode_id,target_side,instruction,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_left,energy_right,energy_true,energy_alternative,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,0,pregrasp,0,16,16,0.1391304347826087,0.11764705882352941,0,8,0.3,0.7,8,0.13542389869689941,0.1382676213979721,0.13542389869689941,0.1382676213979721,0.002843722701072693,0.3812158703804016,0.0024122055619955063,0.46628063917160034
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,0,pregrasp,0,16,16,0.1391304347826087,0.11764705882352941,1,8,0.3,0.7,8,0.06909888237714767,0.06868825852870941,0.06909888237714767,0.06868825852870941,-0.00041062384843826294,0.3812158703804016,0.0024122055619955063,0.46628063917160034
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,0,pregrasp,0,16,16,0.1391304347826087,0.11764705882352941,2,8,0.3,0.7,8,0.12122881412506104,0.12487231940031052,0.12122881412506104,0.12487231940031052,0.003643505275249481,0.3812158703804016,0.0024122055619955063,0.46628063917160034
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,1,pregrasp,16,32,16,0.2782608695652174,0.23529411764705882,0,8,0.3,0.7,8,0.10085299611091614,0.10323826223611832,0.10085299611091614,0.10323826223611832,0.002385266125202179,0.42346855998039246,0.005678033456206322,0.411969929933548
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,1,pregrasp,16,32,16,0.2782608695652174,0.23529411764705882,1,8,0.3,0.7,8,0.11833146214485168,0.11610713601112366,0.11833146214485168,0.11610713601112366,-0.0022243261337280273,0.42346855998039246,0.005678033456206322,0.411969929933548
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,1,pregrasp,16,32,16,0.2782608695652174,0.23529411764705882,2,8,0.3,0.7,8,0.10987766087055206,0.10459388047456741,0.10987766087055206,0.10459388047456741,-0.00528378039598465,0.42346855998039246,0.005678033456206322,0.411969929933548
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,2,pregrasp,32,48,16,0.41739130434782606,0.35294117647058826,0,8,0.3,0.7,8,0.11817679554224014,0.11907614767551422,0.11817679554224014,0.11907614767551422,0.0008993521332740784,0.4712428152561188,0.011875119060277939,0.36203017830848694
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,2,pregrasp,32,48,16,0.41739130434782606,0.35294117647058826,1,8,0.3,0.7,8,0.13998527824878693,0.14337387681007385,0.13998527824878693,0.14337387681007385,0.0033885985612869263,0.4712428152561188,0.011875119060277939,0.36203017830848694
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,2,pregrasp,32,48,16,0.41739130434782606,0.35294117647058826,2,8,0.3,0.7,8,0.09859658777713776,0.09605677425861359,0.09859658777713776,0.09605677425861359,-0.00253981351852417,0.4712428152561188,0.011875119060277939,0.36203017830848694
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,3,pregrasp,48,64,16,0.5565217391304348,0.47058823529411764,0,8,0.3,0.7,8,0.06769232451915741,0.06759519129991531,0.06769232451915741,0.06759519129991531,-9.713321924209595e-05,0.5194657444953918,0.019032472744584084,0.3127811849117279
