decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
30pct,condition_x_target_color,C1/blue,4,0.0,0.0,0.0,0.5,0.09564424336422234
30pct,condition_x_target_color,C1/red,4,0.5,0.525,0.5,1.0,0.0011480438802391336
30pct,condition_x_target_color,C2/blue,4,0.0,0.0,0.0,0.5,0.09765325584448875
30pct,condition_x_target_color,C2/red,4,0.5,0.5,0.5,1.0,0.005961382575333118
40pct,overall,all,24,0.2916666666666667,0.26249999999999996,0.20833333333333334,0.625,0.06070998800452799
40pct,target_color,blue,12,0.0,0.0,0.0,0.5,0.11602465554450947
40pct,target_color,red,12,0.5833333333333334,0.525,0.4166666666666667,0.75,0.00539532046454648
40pct,target_side,left,12,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.8333333333333334,0.06667828400308887
40pct,target_side,right,12,0.4166666666666667,0.39166666666666666,0.08333333333333333,0.4166666666666667,0.0547416920059671
40pct,layout,L1,12,0.25,0.2416666666666667,0.25,0.5833333333333334,0.03721973795443773
40pct,layout,L3,12,0.3333333333333333,0.2833333333333333,0.16666666666666666,0.6666666666666666,0.08420023805461825
40pct,blue_side,left,12,0.4166666666666667,0.39166666666666666,0.08333333333333333,0.9166666666666666,0.09988257428320746
40pct,blue_side,right,12,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.021537401725848507
40pct,condition,C0,8,0.25,0.2625,0.25,0.5,0.06955328554846346
40pct,condition,C1,8,0.25,0.22499999999999998,0.25,0.75,0.05204388028010726
40pct,condition,C2,8,0.375,0.3,0.125,0.625,0.06053279818501323
40pct,target_color_x_side,blue/left,6,0.0,0.0,0.0,1.0,0.16116553782174986
40pct,target_color_x_side,blue/right,6,0.0,0.0,0.0,0.0,0.07088377326726915
40pct,target_color_x_side,red/left,6,0.3333333333333333,0.26666666666666666,0.6666666666666666,0.6666666666666666,-0.027808969815572102
