decision,color_accuracy,side_accuracy,color_seed_pooled_accuracy,side_seed_pooled_accuracy,both_correct_count,color_only_correct_count,side_only_correct_count,neither_correct_count,color_implied_left_rate,side_predicted_left_rate
10pct,0.4166666666666667,0.7916666666666666,0.4166666666666667,0.7125,8,2,11,3,0.3333333333333333,0.7083333333333334
20pct,0.375,0.6666666666666666,0.3625,0.6416666666666667,5,4,11,4,0.2916666666666667,0.8333333333333334
30pct,0.2916666666666667,0.5,0.2916666666666667,0.5750000000000001,1,6,11,6,0.2916666666666667,1.0
40pct,0.2916666666666667,0.5,0.26249999999999996,0.5375,2,5,10,7,0.375,1.0
100pct,0.7083333333333334,0.5,0.6666666666666666,0.4875,7,10,5,2,0.375,1.0
flat,0.7083333333333334,0.5,0.6666666666666666,0.4875,7,10,5,2,0.375,1.0
linear,0.3333333333333333,0.5,0.4000000000000001,0.5125000000000001,2,6,10,6,0.3333333333333333,1.0
exponential,0.2916666666666667,0.5,0.3416666666666666,0.5458333333333333,1,6,11,6,0.2916666666666667,1.0
