decision,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red,target_blue_accuracy,target_blue_seed_pooled_accuracy,target_blue_predicted_blue_rate,target_blue_predicted_right_rate,target_red_accuracy,target_red_seed_pooled_accuracy,target_red_predicted_blue_rate,target_red_predicted_right_rate,side_left_accuracy,side_left_seed_pooled_accuracy,side_left_predicted_blue_rate,side_left_predicted_right_rate,side_right_accuracy,side_right_seed_pooled_accuracy,side_right_predicted_blue_rate,side_right_predicted_right_rate,layout_L1_accuracy,layout_L1_seed_pooled_accuracy,layout_L1_predicted_blue_rate,layout_L1_predicted_right_rate,layout_L3_accuracy,layout_L3_seed_pooled_accuracy,layout_L3_predicted_blue_rate,layout_L3_predicted_right_rate,blue_side_left_accuracy,blue_side_left_seed_pooled_accuracy,blue_side_left_predicted_blue_rate,blue_side_left_predicted_right_rate,blue_side_right_accuracy,blue_side_right_seed_pooled_accuracy,blue_side_right_predicted_blue_rate,blue_side_right_predicted_right_rate,condition_C0_accuracy,condition_C0_seed_pooled_accuracy,condition_C0_predicted_blue_rate,condition_C0_predicted_right_rate,condition_C1_accuracy,condition_C1_seed_pooled_accuracy,condition_C1_predicted_blue_rate,condition_C1_predicted_right_rate,condition_C2_accuracy,condition_C2_seed_pooled_accuracy,condition_C2_predicted_blue_rate,condition_C2_predicted_right_rate
10pct,0.4166666666666667,0.4166666666666667,0.25,0.6666666666666666,0.02014022664943089,0.16666666666666666,0.18333333333333335,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.65,0.3333333333333333,0.6666666666666666,0.25,0.26666666666666666,0.25,0.75,0.5833333333333334,0.5666666666666668,0.25,0.5833333333333334,0.5,0.46666666666666673,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.3666666666666667,0.16666666666666666,0.5,0.4166666666666667,0.3833333333333333,0.08333333333333333,0.9166666666666666,0.4166666666666667,0.45,0.4166666666666667,0.4166666666666667,0.25,0.41250000000000003,0.5,0.75,0.5,0.4625,0.25,0.75,0.5,0.375,0.0,0.5
20pct,0.375,0.3625,0.20833333333333334,0.7083333333333334,0.03627350942154104,0.08333333333333333,0.10833333333333334,0.08333333333333333,0.5833333333333334,0.6666666666666666,0.6166666666666667,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.2166666666666667,0.3333333333333333,0.8333333333333334,0.5833333333333334,0.5083333333333333,0.08333333333333333,0.5833333333333334,0.4166666666666667,0.45,0.25,0.75,0.3333333333333333,0.27499999999999997,0.16666666666666666,0.6666666666666666,0.5,0.39999999999999997,0.0,1.0,0.25,0.32499999999999996,0.4166666666666667,0.4166666666666667,0.5,0.4625,0.25,0.75,0.375,0.36250000000000004,0.125,0.625,0.25,0.26249999999999996,0.25,0.75
30pct,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.7083333333333334,0.05120407661578308,0.0,0.03333333333333333,0.0,0.5,0.5833333333333334,0.55,0.4166666666666667,0.9166666666666666,0.08333333333333333,0.15833333333333333,0.4166666666666667,0.9166666666666666,0.5,0.42500000000000004,0.0,0.5,0.3333333333333333,0.3166666666666667,0.16666666666666666,0.6666666666666666,0.25,0.26666666666666666,0.25,0.75,0.5,0.39166666666666666,0.0,1.0,0.08333333333333333,0.19166666666666668,0.4166666666666667,0.4166666666666667,0.375,0.36250000000000004,0.125,0.625,0.25,0.2625,0.25,0.75,0.25,0.25,0.25,0.75
40pct,0.2916666666666667,0.26249999999999996,0.20833333333333334,0.625,0.06070998800452799,0.0,0.0,0.0,0.5,0.5833333333333334,0.525,0.4166666666666667,0.75,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.8333333333333334,0.4166666666666667,0.39166666666666666,0.08333333333333333,0.4166666666666667,0.25,0.2416666666666667,0.25,0.5833333333333334,0.3333333333333333,0.2833333333333333,0.16666666666666666,0.6666666666666666,0.4166666666666667,0.39166666666666666,0.08333333333333333,0.9166666666666666,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.2625,0.25,0.5,0.25,0.22499999999999998,0.25,0.75,0.375,0.3,0.125,0.625
100pct,0.7083333333333334,0.6666666666666666,0.2916666666666667,0.625,0.07752826999252041,0.5,0.4583333333333333,0.5,0.6666666666666666,0.9166666666666666,0.875,0.08333333333333333,0.5833333333333334,0.5833333333333334,0.5,0.25,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.75,0.7000000000000001,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.6333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.16666666666666666,0.8333333333333334,0.75,0.7083333333333334,0.4166666666666667,0.4166666666666667,0.625,0.5625,0.125,0.375,0.625,0.575,0.375,0.875,0.875,0.8625,0.375,0.625
