decision,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red,target_blue_accuracy,target_blue_seed_pooled_accuracy,target_blue_predicted_blue_rate,target_blue_predicted_right_rate,target_red_accuracy,target_red_seed_pooled_accuracy,target_red_predicted_blue_rate,target_red_predicted_right_rate,side_left_accuracy,side_left_seed_pooled_accuracy,side_left_predicted_blue_rate,side_left_predicted_right_rate,side_right_accuracy,side_right_seed_pooled_accuracy,side_right_predicted_blue_rate,side_right_predicted_right_rate,layout_L1_accuracy,layout_L1_seed_pooled_accuracy,layout_L1_predicted_blue_rate,layout_L1_predicted_right_rate,layout_L3_accuracy,layout_L3_seed_pooled_accuracy,layout_L3_predicted_blue_rate,layout_L3_predicted_right_rate,blue_side_left_accuracy,blue_side_left_seed_pooled_accuracy,blue_side_left_predicted_blue_rate,blue_side_left_predicted_right_rate,blue_side_right_accuracy,blue_side_right_seed_pooled_accuracy,blue_side_right_predicted_blue_rate,blue_side_right_predicted_right_rate,condition_C0_accuracy,condition_C0_seed_pooled_accuracy,condition_C0_predicted_blue_rate,condition_C0_predicted_right_rate,condition_C1_accuracy,condition_C1_seed_pooled_accuracy,condition_C1_predicted_blue_rate,condition_C1_predicted_right_rate,condition_C2_accuracy,condition_C2_seed_pooled_accuracy,condition_C2_predicted_blue_rate,condition_C2_predicted_right_rate
flat,0.7083333333333334,0.6666666666666666,0.2916666666666667,0.625,0.00909157105188453,0.5,0.4583333333333333,0.5,0.6666666666666666,0.9166666666666666,0.875,0.08333333333333333,0.5833333333333334,0.5833333333333334,0.5,0.25,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.75,0.7000000000000001,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.6333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.16666666666666666,0.8333333333333334,0.75,0.7083333333333334,0.4166666666666667,0.4166666666666667,0.625,0.5625,0.125,0.375,0.625,0.575,0.375,0.875,0.875,0.8625,0.375,0.625
linear,0.3333333333333333,0.4000000000000001,0.25,0.6666666666666666,0.012644239750232935,0.08333333333333333,0.15833333333333333,0.08333333333333333,0.5833333333333334,0.5833333333333334,0.6416666666666667,0.4166666666666667,0.75,0.16666666666666666,0.20833333333333334,0.3333333333333333,0.8333333333333334,0.5,0.5916666666666667,0.16666666666666666,0.5,0.25,0.35833333333333334,0.25,0.5833333333333334,0.4166666666666667,0.4416666666666667,0.25,0.75,0.4166666666666667,0.4666666666666666,0.08333333333333333,0.9166666666666666,0.25,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.375,0.3875,0.125,0.375,0.25,0.375,0.25,0.75,0.375,0.4375,0.375,0.875
exponential,0.2916666666666667,0.3416666666666666,0.20833333333333334,0.7083333333333334,0.015251508222179187,0.0,0.05000000000000001,0.0,0.5,0.5833333333333334,0.6333333333333333,0.4166666666666667,0.9166666666666666,0.08333333333333333,0.18333333333333332,0.4166666666666667,0.9166666666666666,0.5,0.5,0.0,0.5,0.3333333333333333,0.325,0.16666666666666666,0.6666666666666666,0.25,0.3583333333333334,0.25,0.75,0.5,0.45,0.0,1.0,0.08333333333333333,0.2333333333333333,0.4166666666666667,0.4166666666666667,0.375,0.3625,0.125,0.625,0.25,0.35,0.25,0.75,0.25,0.3125,0.25,0.75
