split,condition,pair_index,episode_id,target_side,instruction,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_left,energy_right,energy_true,energy_alternative,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,0,pregrasp,0,16,16,0.1391304347826087,0.11764705882352941,0,8,0.3,0.7,8,0.28869083523750305,0.30564963817596436,0.28869083523750305,0.30564963817596436,0.016958802938461304,0.3812158703804016,0.0024122055619955063,0.46628063917160034
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,0,pregrasp,0,16,16,0.1391304347826087,0.11764705882352941,1,8,0.3,0.7,8,0.21879053115844727,0.2297048717737198,0.21879053115844727,0.2297048717737198,0.010914340615272522,0.3812158703804016,0.0024122055619955063,0.46628063917160034
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,0,pregrasp,0,16,16,0.1391304347826087,0.11764705882352941,2,8,0.3,0.7,8,0.2798950672149658,0.3192223310470581,0.2798950672149658,0.3192223310470581,0.039327263832092285,0.3812158703804016,0.0024122055619955063,0.46628063917160034
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,1,pregrasp,16,32,16,0.2782608695652174,0.23529411764705882,0,8,0.3,0.7,8,0.22810989618301392,0.28949737548828125,0.22810989618301392,0.28949737548828125,0.061387479305267334,0.42346855998039246,0.005678033456206322,0.411969929933548
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,1,pregrasp,16,32,16,0.2782608695652174,0.23529411764705882,1,8,0.3,0.7,8,0.17196893692016602,0.21875673532485962,0.17196893692016602,0.21875673532485962,0.046787798404693604,0.42346855998039246,0.005678033456206322,0.411969929933548
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,1,pregrasp,16,32,16,0.2782608695652174,0.23529411764705882,2,8,0.3,0.7,8,0.210587739944458,0.26610881090164185,0.210587739944458,0.26610881090164185,0.05552107095718384,0.42346855998039246,0.005678033456206322,0.411969929933548
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,2,pregrasp,32,48,16,0.41739130434782606,0.35294117647058826,0,8,0.3,0.7,8,0.28982341289520264,0.3411635160446167,0.28982341289520264,0.3411635160446167,0.05134010314941406,0.4712428152561188,0.011875119060277939,0.36203017830848694
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,2,pregrasp,32,48,16,0.41739130434782606,0.35294117647058826,1,8,0.3,0.7,8,0.26789790391921997,0.29317712783813477,0.26789790391921997,0.29317712783813477,0.025279223918914795,0.4712428152561188,0.011875119060277939,0.36203017830848694
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,2,pregrasp,32,48,16,0.41739130434782606,0.35294117647058826,2,8,0.3,0.7,8,0.2630329132080078,0.30718547105789185,0.2630329132080078,0.30718547105789185,0.04415255784988403,0.4712428152561188,0.011875119060277939,0.36203017830848694
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,3,pregrasp,48,64,16,0.5565217391304348,0.47058823529411764,0,8,0.3,0.7,8,0.11356271803379059,0.1478601098060608,0.11356271803379059,0.1478601098060608,0.0342973917722702,0.5194657444953918,0.019032472744584084,0.3127811849117279
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,3,pregrasp,48,64,16,0.5565217391304348,0.47058823529411764,1,8,0.3,0.7,8,0.18991197645664215,0.20434151589870453,0.18991197645664215,0.20434151589870453,0.014429539442062378,0.5194657444953918,0.019032472744584084,0.3127811849117279
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,3,pregrasp,48,64,16,0.5565217391304348,0.47058823529411764,2,8,0.3,0.7,8,0.24016059935092926,0.28106260299682617,0.24016059935092926,0.28106260299682617,0.04090200364589691,0.5194657444953918,0.019032472744584084,0.3127811849117279
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,4,pregrasp,64,80,16,0.6956521739130435,0.5882352941176471,0,8,0.3,0.7,8,0.33765050768852234,0.3008362948894501,0.33765050768852234,0.3008362948894501,-0.036814212799072266,0.5677072405815125,0.0257393978536129,0.2630029618740082
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,4,pregrasp,64,80,16,0.6956521739130435,0.5882352941176471,1,8,0.3,0.7,8,0.19736112654209137,0.16823159158229828,0.19736112654209137,0.16823159158229828,-0.02912953495979309,0.5677072405815125,0.0257393978536129,0.2630029618740082
