decision,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red,target_blue_accuracy,target_blue_seed_pooled_accuracy,target_blue_predicted_blue_rate,target_blue_predicted_right_rate,target_red_accuracy,target_red_seed_pooled_accuracy,target_red_predicted_blue_rate,target_red_predicted_right_rate,side_left_accuracy,side_left_seed_pooled_accuracy,side_left_predicted_blue_rate,side_left_predicted_right_rate,side_right_accuracy,side_right_seed_pooled_accuracy,side_right_predicted_blue_rate,side_right_predicted_right_rate,layout_L1_accuracy,layout_L1_seed_pooled_accuracy,layout_L1_predicted_blue_rate,layout_L1_predicted_right_rate,layout_L3_accuracy,layout_L3_seed_pooled_accuracy,layout_L3_predicted_blue_rate,layout_L3_predicted_right_rate,blue_side_left_accuracy,blue_side_left_seed_pooled_accuracy,blue_side_left_predicted_blue_rate,blue_side_left_predicted_right_rate,blue_side_right_accuracy,blue_side_right_seed_pooled_accuracy,blue_side_right_predicted_blue_rate,blue_side_right_predicted_right_rate,condition_C0_accuracy,condition_C0_seed_pooled_accuracy,condition_C0_predicted_blue_rate,condition_C0_predicted_right_rate,condition_C1_accuracy,condition_C1_seed_pooled_accuracy,condition_C1_predicted_blue_rate,condition_C1_predicted_right_rate,condition_C2_accuracy,condition_C2_seed_pooled_accuracy,condition_C2_predicted_blue_rate,condition_C2_predicted_right_rate
flat,0.7083333333333334,0.7458333333333332,0.375,0.7916666666666666,0.011040090799468069,0.5833333333333334,0.6083333333333333,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.8833333333333333,0.16666666666666666,0.6666666666666666,0.4166666666666667,0.5166666666666666,0.25,0.5833333333333334,1.0,0.975,0.5,1.0,0.6666666666666666,0.7416666666666666,0.5,0.8333333333333334,0.75,0.75,0.25,0.75,0.5833333333333334,0.6333333333333333,0.08333333333333333,0.9166666666666666,0.8333333333333334,0.8583333333333334,0.6666666666666666,0.6666666666666666,0.875,0.8375,0.375,0.625,0.625,0.6625,0.375,0.875,0.625,0.7375,0.375,0.875
linear,0.5,0.5458333333333334,0.25,0.6666666666666666,0.015104885346441208,0.25,0.3,0.25,0.75,0.75,0.7916666666666666,0.25,0.5833333333333334,0.3333333333333333,0.3833333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4416666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.65,0.16666666666666666,0.6666666666666666,0.4166666666666667,0.42500000000000004,0.08333333333333333,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.625,0.6499999999999999,0.125,0.625,0.5,0.5375,0.25,0.75,0.375,0.44999999999999996,0.375,0.625
exponential,0.4166666666666667,0.45416666666666666,0.16666666666666666,0.5,0.018041328616735203,0.08333333333333333,0.10833333333333335,0.08333333333333333,0.5833333333333334,0.75,0.8000000000000002,0.25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.5833333333333334,0.4166666666666667,0.49166666666666664,0.25,0.4166666666666667,0.25,0.3333333333333333,0.25,0.4166666666666667,0.5833333333333334,0.575,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.3833333333333333,0.16666666666666666,0.8333333333333334,0.5,0.525,0.16666666666666666,0.16666666666666666,0.625,0.6,0.125,0.625,0.25,0.38749999999999996,0.25,0.5,0.375,0.375,0.125,0.375
