decision,pair_type,layout_id,condition,fixed_value,first_episode,second_episode,first_prediction,second_prediction,first_score,second_score,both_correct,desired_relation,oriented_score_difference
20pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,red,blue,0.05536968678236007,-0.04070768982172012,0,1,-0.0960773766040802
20pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,blue,0.05531043827533723,-0.0047468152642250044,0,1,-0.06005725353956223
20pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,red,red,0.057235721871256834,0.07000641897320746,0,0,0.012770697101950626
20pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,red,red,0.025041991099715243,0.038213786110281936,0,0,0.013171795010566693
20pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,red,0.15909507930278777,0.05435049561783672,0,0,-0.10474458368495104
20pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.04519930750131607,0.01647957861423493,0,0,-0.028719728887081145
20pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,blue,0.07801376923918724,-0.013722507581114762,0,1,-0.091736276820302
20pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,blue,0.12074423899874091,-0.008345614299178121,0,1,-0.12908985329791903
20pct,same_target_color_side_swap,L1,C0,blue,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_50_22_202653_L1_right_C0,red,red,0.05818251378834248,0.06470208518207073,0,1,-0.006519571393728246
20pct,same_target_color_side_swap,L1,C1,blue,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_50_52_802516_L1_right_C1,red,red,0.020232617259025584,0.05536968678236007,0,1,-0.03513706952333448
