decision,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red,target_blue_accuracy,target_blue_seed_pooled_accuracy,target_blue_predicted_blue_rate,target_blue_predicted_right_rate,target_red_accuracy,target_red_seed_pooled_accuracy,target_red_predicted_blue_rate,target_red_predicted_right_rate,side_left_accuracy,side_left_seed_pooled_accuracy,side_left_predicted_blue_rate,side_left_predicted_right_rate,side_right_accuracy,side_right_seed_pooled_accuracy,side_right_predicted_blue_rate,side_right_predicted_right_rate,layout_L1_accuracy,layout_L1_seed_pooled_accuracy,layout_L1_predicted_blue_rate,layout_L1_predicted_right_rate,layout_L3_accuracy,layout_L3_seed_pooled_accuracy,layout_L3_predicted_blue_rate,layout_L3_predicted_right_rate,blue_side_left_accuracy,blue_side_left_seed_pooled_accuracy,blue_side_left_predicted_blue_rate,blue_side_left_predicted_right_rate,blue_side_right_accuracy,blue_side_right_seed_pooled_accuracy,blue_side_right_predicted_blue_rate,blue_side_right_predicted_right_rate,condition_C0_accuracy,condition_C0_seed_pooled_accuracy,condition_C0_predicted_blue_rate,condition_C0_predicted_right_rate,condition_C1_accuracy,condition_C1_seed_pooled_accuracy,condition_C1_predicted_blue_rate,condition_C1_predicted_right_rate,condition_C2_accuracy,condition_C2_seed_pooled_accuracy,condition_C2_predicted_blue_rate,condition_C2_predicted_right_rate
10pct,0.4583333333333333,0.42083333333333334,0.375,0.125,0.024116060600305595,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.5833333333333334,0.5916666666666667,0.4166666666666667,0.08333333333333333,0.8333333333333334,0.7416666666666667,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.09999999999999999,0.4166666666666667,0.08333333333333333,0.5,0.47500000000000003,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.3666666666666667,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.35000000000000003,0.75,0.25,0.5,0.4916666666666667,0.0,0.0,0.5,0.425,0.25,0.25,0.5,0.4625,0.5,0.0,0.375,0.375,0.375,0.125
20pct,0.3333333333333333,0.37083333333333335,0.16666666666666666,0.3333333333333333,0.04207256272279968,0.0,0.05833333333333333,0.0,0.5,0.6666666666666666,0.6833333333333332,0.3333333333333333,0.16666666666666666,0.5,0.5,0.0,0.5,0.16666666666666666,0.2416666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3416666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.39999999999999997,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3,0.3333333333333333,0.6666666666666666,0.5,0.44166666666666665,0.0,0.0,0.5,0.4375,0.0,0.5,0.25,0.2875,0.25,0.25,0.25,0.3875,0.25,0.25
30pct,0.3333333333333333,0.3541666666666667,0.16666666666666666,0.5,0.06025007520336657,0.0,0.016666666666666666,0.0,0.5,0.6666666666666666,0.6916666666666668,0.3333333333333333,0.5,0.3333333333333333,0.375,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.5,0.5,0.4583333333333333,0.0,0.5,0.3333333333333333,0.31666666666666665,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.39166666666666666,0.16666666666666666,0.16666666666666666,0.375,0.4625,0.125,0.625,0.25,0.25,0.25,0.5,0.375,0.35,0.125,0.375
40pct,0.4166666666666667,0.3916666666666666,0.25,0.5833333333333334,0.0732537379457305,0.16666666666666666,0.15,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6333333333333334,0.3333333333333333,0.5,0.3333333333333333,0.3083333333333333,0.16666666666666666,0.6666666666666666,0.5,0.47500000000000003,0.3333333333333333,0.5,0.16666666666666666,0.19999999999999998,0.3333333333333333,0.5,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.325,0.16666666666666666,0.8333333333333334,0.5,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5125,0.25,0.75,0.375,0.3625,0.375,0.625,0.375,0.3,0.125,0.375
100pct,0.7083333333333334,0.7458333333333332,0.375,0.7916666666666666,0.09652645404761036,0.5833333333333334,0.6083333333333333,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.8833333333333333,0.16666666666666666,0.6666666666666666,0.4166666666666667,0.5166666666666666,0.25,0.5833333333333334,1.0,0.975,0.5,1.0,0.6666666666666666,0.7416666666666666,0.5,0.8333333333333334,0.75,0.75,0.25,0.75,0.5833333333333334,0.6333333333333333,0.08333333333333333,0.9166666666666666,0.8333333333333334,0.8583333333333334,0.6666666666666666,0.6666666666666666,0.875,0.8375,0.375,0.625,0.625,0.6625,0.375,0.875,0.625,0.7375,0.375,0.875
