grouping,level,num_trajectories,grasp_x_mean,grasp_y_mean,grasp_z_mean,pregrasp_frames_mean,path_length_mean_m,path_ratio_mean,max_line_deviation_mean_m
layout,L1,12,0.6415555824836096,-0.0006150857855876287,0.1897948496043682,133.33333333333334,0.4832047152892022,1.1893407352760925,0.09464404248620524
layout,L3,12,0.666970744729042,-0.0005774333452184995,0.18916316330432892,138.41666666666666,0.49933724454097755,1.1756752154748915,0.09472266187302582
target_side,left,12,0.6544313530127207,0.04272609390318394,0.18941814576586088,136.5,0.49144694671704636,1.1828446939905064,0.09465995196666403
target_side,right,12,0.6540949741999308,-0.04391861303399006,0.18953986714283624,135.25,0.4910950131131333,1.1821712567604779,0.09470675239256704
condition,C0,8,0.6546244099736214,-0.0013081151992082596,0.18918846175074577,118.125,0.41994277365415517,1.0104507468887736,0.009826263712263151
condition,C1,8,0.6540964841842651,-0.00017024343833327293,0.18958653137087822,130.0,0.46828312908811937,1.127058297040909,0.08915851419816659
condition,C2,8,0.6540685966610909,-0.00031042005866765976,0.1896620262414217,159.5,0.585587037002995,1.4100148821967937,0.18506527862841687
