split,condition,pair_index,episode_id,target_side,instruction,recorded_color_instruction,layout_id,target_color,blue_block_side,red_block_side,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_left,energy_right,energy_true,energy_alternative,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,0,8,0.3,0.7,8,0.32568082213401794,0.32466426491737366,0.32568082213401794,0.32466426491737366,-0.0010165572166442871,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,1,8,0.3,0.7,8,0.2509157657623291,0.2337363064289093,0.2509157657623291,0.2337363064289093,-0.0171794593334198,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,2,8,0.3,0.7,8,0.30155596137046814,0.34401270747184753,0.30155596137046814,0.34401270747184753,0.042456746101379395,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,3,8,0.3,0.7,8,0.25990909337997437,0.23046086728572845,0.25990909337997437,0.23046086728572845,-0.02944822609424591,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,4,8,0.3,0.7,8,0.21249860525131226,0.22023674845695496,0.21249860525131226,0.22023674845695496,0.0077381432056427,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,5,8,0.3,0.7,8,0.34630700945854187,0.3832455277442932,0.34630700945854187,0.3832455277442932,0.03693851828575134,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,6,8,0.3,0.7,8,0.29749515652656555,0.31373944878578186,0.29749515652656555,0.31373944878578186,0.01624429225921631,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,7,8,0.3,0.7,8,0.2789455056190491,0.2979559600353241,0.2789455056190491,0.2979559600353241,0.019010454416275024,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,8,8,0.3,0.7,8,0.15367095172405243,0.17457054555416107,0.15367095172405243,0.17457054555416107,0.020899593830108643,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,9,8,0.3,0.7,8,0.35699108242988586,0.31004029512405396,0.35699108242988586,0.31004029512405396,-0.04695078730583191,0.38145551085472107,0.0021811791229993105,0.4664916396141052
