condition,target,init_state_index,repeat_index,success,policy_steps,close_step,grasp_state,lift_state,close_query,grasp_query,lift_query,pre_lift_steps,pre_lift_eef_path_m,pre_lift_action_tv_l2,post_lift_evidence_5,post_lift_evidence_10,post_lift_evidence_15,post_lift_evidence_20,post_lift_early_auc20,post_lift_wrong_fraction15,metadata_path,guidance_at_close,belief_positive_at_close,belief_negative_at_close,guidance_close_plus_1,belief_positive_close_plus_1,belief_negative_close_plus_1,guidance_close_plus_2,belief_positive_close_plus_2,belief_negative_close_plus_2,guidance_close_plus_3,belief_positive_close_plus_3,belief_negative_close_plus_3,guidance_at_grasp,belief_positive_at_grasp,belief_negative_at_grasp,guidance_grasp_plus_1,belief_positive_grasp_plus_1,belief_negative_grasp_plus_1,guidance_grasp_plus_2,belief_positive_grasp_plus_2,belief_negative_grasp_plus_2,guidance_grasp_plus_3,belief_positive_grasp_plus_3,belief_negative_grasp_plus_3,guidance_at_lift,belief_positive_at_lift,belief_negative_at_lift,guidance_lift_plus_1,belief_positive_lift_plus_1,belief_negative_lift_plus_1,guidance_lift_plus_2,belief_positive_lift_plus_2,belief_negative_lift_plus_2,guidance_lift_plus_3,belief_positive_lift_plus_3,belief_negative_lift_plus_3
base,cabinet,14,0,True,85,42,72,62,6,12,10,52.0,0.442756696472359,7.012619620853242,0.17953805551067664,0.40261648535532324,0.6531922571940152,0.8884965138903798,0.29486014865784266,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init14_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,14,1,True,84,41,87,61,6,15,10,51.0,0.43838558497060054,7.2677014505941635,0.17323823384839232,0.400662522018376,0.6652002388660344,0.9093407414029883,0.2937584061768713,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init14_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,15,0,True,77,38,48,56,5,7,9,46.0,0.416967584087009,7.301899093831589,0.19847880120460926,0.4693931278332707,0.7437470688858409,0.9520181193482575,0.33317110618279067,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init15_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,15,1,True,77,38,48,57,5,7,9,47.0,0.41897348365920356,7.216577444334858,0.20664823822912615,0.4725435385137671,0.7385187449042555,0.9480142726432996,0.3370530722825716,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init15_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,16,0,True,85,39,61,61,5,10,10,51.0,0.4110394381702372,7.421528280367593,0.1549944705657576,0.340115288211843,0.5600511792480508,0.7809656617748684,0.2519437390161182,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init16_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,16,1,True,89,39,61,58,5,10,9,48.0,0.39304629549779924,7.153104709336671,0.14912564211109958,0.3077067959460278,0.4907518077580901,0.7018973335103268,0.22914912905405804,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init16_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,17,0,True,86,42,54,62,6,8,10,52.0,0.4465455636978174,7.2264715273156215,0.18365621180739886,0.4264410204246239,0.7021645350198201,0.9405039814496114,0.3104578626842814,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init17_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,17,1,True,75,41,,61,6,,10,51.0,0.4376345223910031,7.31825635989523,0.16389324189111532,0.37876427343832714,0.6544165093409313,0.9175516928897363,0.2831913917769734,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init17_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,18,0,True,98,43,56,62,6,9,10,52.0,0.4632815984875485,7.137797299087197,0.1649820745822964,0.340009686075407,0.5379341382744155,0.7281045316397228,0.25228540048740505,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init18_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,18,1,True,87,43,84,62,6,14,10,52.0,0.4550883525313682,7.061702751376664,0.1657390332352722,0.37157398777720396,0.6306127873527567,0.8828611488917575,0.2774310815469193,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init18_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,19,0,True,85,38,50,58,5,8,9,48.0,0.4238210727076167,7.0573684639143,0.16373153680012958,0.3646678601463723,0.6189283214905985,0.85820656276104,0.2728698002860683,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init19_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,19,1,True,88,39,54,58,5,8,9,48.0,0.41904128655561423,7.125905556469275,0.15960246265892455,0.3350921807184126,0.5658598394260699,0.791267714486192,0.25396741551933877,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init19_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
