episode_id,condition,target_side,pregrasp_chunks,num_seeds,prediction_10pct,prediction_20pct,prediction_30pct,prediction_40pct,prediction_100pct,margin_10pct,margin_20pct,margin_30pct,margin_40pct,margin_100pct,seed_correct_rate_10pct,seed_correct_rate_20pct,seed_correct_rate_30pct,seed_correct_rate_40pct,seed_correct_rate_100pct,seed_prediction_agreement_10pct,seed_prediction_agreement_20pct,seed_prediction_agreement_30pct,seed_prediction_agreement_40pct,seed_prediction_agreement_100pct,early_correct_20_to_40pct,late_reversal,flat_final_score,flat_final_prediction,linear_final_score,linear_final_prediction,exponential_final_score,exponential_final_prediction,flat_seed_correct_rate,linear_seed_correct_rate,exponential_seed_correct_rate,flat_seed_prediction_agreement,linear_seed_prediction_agreement,exponential_seed_prediction_agreement,final_prediction_seed_agreement,final_prediction_stable_80pct,mean_chunk_sign_seed_agreement,minimum_chunk_sign_seed_agreement
2026_08_18_00_52_54_907596_L3_right_C0,C0,right,8,10,L,L,L,L,L,-0.015305753909051418,-0.05055205041542649,-0.09672708693891763,-0.144824310336262,-0.22989578247070314,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,-0.028736972808837892,L,-0.03517117543766897,L,-0.03615293560949649,L,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.9875,0.9
2026_08_18_00_53_23_339528_L3_right_C1,C1,right,9,10,R,R,L,L,L,0.03170829612761736,0.019640080109238626,-0.007256686240434639,-0.03978883907198906,-0.15109300166368486,1.0,0.6,0.4,0.2,0.0,1.0,0.6,0.6,0.8,1.0,1,1,-0.016788111295964983,L,-0.015967391398217942,L,-0.009695721108200418,L,0.0,0.0,0.2,1.0,1.0,0.8,1.0,1,0.9777777777777779,0.8
2026_08_18_00_53_52_283658_L3_right_C2,C2,right,10,10,R,L,L,L,L,0.021077760234475135,-0.010918695665895938,-0.04245928408578038,-0.058144981935620316,-0.1803348138928413,0.8,0.6,0.1,0.1,0.0,0.8,0.4,0.9,0.9,1.0,0,0,-0.01803348138928413,L,-0.01720318000424992,L,-0.013321088128371308,L,0.0,0.0,0.1,1.0,1.0,0.9,1.0,1,0.97,0.8
2026_08_18_00_54_32_747715_L3_left_C0,C0,left,8,10,L,L,L,L,L,-0.062047925591468815,-0.12610550820827485,-0.188169239833951,-0.24423561245203018,-0.384354905039072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.048044363129884,L,-0.06382946347196898,L,-0.06995889426831213,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
2026_08_18_00_55_01_843645_L3_left_C1,C1,left,9,10,L,L,L,L,L,-0.03813059650361539,-0.08695399604737758,-0.12508443418890236,-0.14435139521956442,-0.12557417601346968,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1,0,-0.013952686223718853,L,-0.024826898872852325,L,-0.03195556564734337,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.911111111111111,0.7
2026_08_18_00_55_32_860317_L3_left_C2,C2,left,11,10,L,L,L,L,L,-0.04408965827897191,-0.112970176897943,-0.15463234120979902,-0.1534186193719506,-0.11928594708442686,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1,0,-0.01084417700767517,L,-0.019258010590618307,L,-0.02662738140178683,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8909090909090908,0.5
2026_08_18_00_56_19_492037_L3_right_C0,C0,right,8,10,L,L,L,L,L,-0.0005222283303737641,-0.022090826183557514,-0.04494538381695748,-0.04932549148797989,-0.03865815773606301,0.5,0.1,0.1,0.2,0.2,0.5,0.9,0.9,0.8,0.8,0,0,-0.004832269717007876,L,-0.008291047252714635,L,-0.00994930082982825,L,0.2,0.2,0.1,0.8,0.8,0.9,0.8,1,0.7625,0.5
2026_08_18_00_56_48_148319_L3_right_C1,C1,right,9,10,R,R,L,L,L,0.01711127154529095,0.00885227754712105,-0.00713110074400901,-0.03590730845928192,-0.14823141768574713,0.8,0.6,0.4,0.2,0.0,0.8,0.6,0.6,0.8,1.0,1,1,-0.01647015752063857,L,-0.015992356505658896,L,-0.011161283584622657,L,0.0,0.0,0.1,1.0,1.0,0.9,1.0,1,0.9444444444444444,0.8
2026_08_18_00_57_15_980084_L3_right_C2,C2,right,10,10,L,L,L,L,L,-0.060093780141323806,-0.06165864083915949,-0.08039351086132228,-0.10713952302932739,-0.20666650384664534,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,-0.020666650384664535,L,-0.02460114294832403,L,-0.02754280204555109,L,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.96,0.6
2026_08_18_00_57_54_988496_L3_left_C0,C0,left,8,10,L,L,L,L,L,-0.0937844976782799,-0.17712055034935476,-0.24368893150240184,-0.28717041462659837,-0.4260872222483158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.053260902781039475,L,-0.07471886773904164,L,-0.08620611029522944,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.975,0.8
2026_08_18_00_58_22_709133_L3_left_C1,C1,left,9,10,L,L,L,L,L,-0.05419772565364838,-0.12394631996750831,-0.17509493228048084,-0.1968080024421215,-0.14803015068173409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.016447794520192675,L,-0.031962830043501325,L,-0.042786510954284686,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8555555555555556,0.4
2026_08_18_00_59_48_029579_L3_left_C2,C2,left,10,10,L,L,L,L,L,-0.034448433034121984,-0.11950667103752494,-0.18883346590213473,-0.21034378863871098,-0.15017307847738265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.015017307847738266,L,-0.026330547874624077,L,-0.03452364287904057,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9400000000000001,0.5
