method,overall_accuracy,left_accuracy,right_accuracy,seed_pooled_accuracy,left_seed_pooled_accuracy,right_seed_pooled_accuracy
flat,0.5,1.0,0.0,0.4875,0.9583333333333334,0.016666666666666666
linear,0.5,1.0,0.0,0.5125000000000001,1.0,0.025000000000000005
exponential,0.5,1.0,0.0,0.5458333333333333,1.0,0.09166666666666667
