endpoint,geometry_id,layout_id,simulator_seed,target_identity,spearman_rho,spearman_defined,L3_minus_L0,adjacent_success_fraction,A1_minus_L0
C20,G1,A,0,milk,0.19999999999999998,True,0.0031121168972499495,0.3333333333333333,-0.009764728016307355
C20,G1,A,0,orange_juice,-0.39999999999999997,True,-0.004521552967889683,0.3333333333333333,-0.003152491405990377
C20,G1,B,0,milk,0.39999999999999997,True,0.010671284627060493,0.6666666666666666,0.0010665974351750929
C20,G1,B,0,orange_juice,-0.19999999999999998,True,-0.0021307899933962968,0.6666666666666666,0.007694337818970148
C20,G2,A,0,milk,-0.7999999999999999,True,-0.002962843722392375,0.3333333333333333,-0.010728776976490714
C20,G2,A,0,orange_juice,-0.39999999999999997,True,-0.005278880416388729,0.3333333333333333,-0.004675408864393611
C20,G2,B,0,milk,0.7999999999999999,True,0.011813175184867016,0.6666666666666666,0.0047823028908430786
C20,G2,B,0,orange_juice,0.0,True,-0.0010901002744909856,0.3333333333333333,0.005304376439132709
C30,G1,A,0,milk,1.0,True,0.0239802106099508,1.0,0.0015433765747785
C30,G1,A,0,orange_juice,0.39999999999999997,True,0.00567410251980879,0.6666666666666666,-0.011473915109279765
C30,G1,B,0,milk,-0.19999999999999998,True,-0.004708105999086033,0.6666666666666666,0.003359915539566355
C30,G1,B,0,orange_juice,-1.0,True,-0.020423169358133566,0.0,-0.0014617052417966007
C30,G2,A,0,milk,1.0,True,0.015367547834711228,1.0,-0.003281164580478552
C30,G2,A,0,orange_juice,0.7999999999999999,True,0.009027614675748526,0.6666666666666666,-0.011971313840683851
C30,G2,B,0,milk,0.0,True,-0.0005903048146849756,0.3333333333333333,0.011732886806352398
C30,G2,B,0,orange_juice,-0.19999999999999998,True,-0.008750307020690526,0.6666666666666666,0.0013852261372407568
C40,G1,A,0,milk,1.0,True,0.022277003795451146,1.0,0.004973273430549873
C40,G1,A,0,orange_juice,0.7999999999999999,True,0.013321758146236993,0.6666666666666666,-0.01652993631568452
C40,G1,B,0,milk,-0.7999999999999999,True,-0.009491223078400883,0.3333333333333333,0.005422657300546602
C40,G1,B,0,orange_juice,-1.0,True,-0.021180113649968853,0.0,-0.003324060634623741
C40,G2,A,0,milk,1.0,True,0.020128347522233636,1.0,-0.007740826419308209
C40,G2,A,0,orange_juice,1.0,True,0.013927205272550276,1.0,-0.018968541249715035
C40,G2,B,0,milk,-0.7999999999999999,True,-0.008299852810918378,0.3333333333333333,0.009790301019277982
C40,G2,B,0,orange_juice,-1.0,True,-0.02437538231630433,0.0,0.007754599932983899
